Name,Frequency
ADR_W_CTR,130.450
AEG_TWR,120.150
AMB_DEL,134.600
AFRW_A_FSS,131.225
ACK_Y_APP-,119.700
ACY_DEL,127.850
ALO_TWR,125.075
ACK_N_APP-,118.200
AFW_DEL,128.720
ADR_E_CTR,130.550
ALN_GND,120.200
AEX_GND,121.900
ALO_APP,118.900
AFW_H_TWR,120.820
AD_TWR,120.500
AD-N_GND,126.550
AGS_D_APP,119.725
ADR_U_CTR,130.750
ALB_APP-,132.825
AID_GC_GND,121.600
AGS_DEL,118.650
ALB_F_APP-,127.150
AGS_GND,121.900
AD_DEL,126.100
ADQ_TWR,119.800
ACT_H_APP,127.650
AFRN_FSS,134.525
AMA_A_APP,119.500
ACY_N_APP,134.250
AD-W_APP,124.200
AF-N_TWR,123.600
AGS_E_APP,119.150
ADR_CTR,130.000
ACY_TWR,120.300
ANC_TWR,118.300
ANK_8_CTR,125.950
APN_A_APP,118.500
AT98_I_FSS,119.500
ANC_09_CTR,124.800
ANK_W_CTR,132.150
ASE_DEL,123.750
ASE_TWR,118.850
ARA_GND,121.700
ANC_N_APP,118.600
ANT_B_CTR,131.250
ANK_10_CTR,127.850
ANC_GND,121.900
ANK_2_CTR,130.400
ANK_9_CTR,126.250
ANC_03_CTR,133.300
ASIA_W_FSS,135.400
ANC_16_CTR,132.700
APA_E_TWR,118.900
ANK_13_CTR,128.450
ASEA_W_FSS,134.255
ASE_APP,123.800
ANC_68_CTR,127.300
ASG_TWR,118.200
ANC_06_CTR,132.300
APF_GND,121.600
ASEA_2_FSS,136.225
ANK_A_CTR,133.675
ANK_3_CTR,136.600
ARR_TWR,120.600
ANC_DEL,119.400
ARB_TWR,120.300
ASE_GND,121.900
ANC_F_APP,135.150
ASH_TWR-,133.200
AMM_F_APP,130.500
ANK_14_CTR,128.650
APA_TWR,118.900
ARB_GND,121.600
ANC_S_APP,126.400
ANK_12_CTR,133.550
ANK_WS_CTR,132.400
ANT_CTR,131.200
ANK_4_CTR,119.575
ANE_TWR,132.400
APC_TWR,118.700
ANK_15_CTR,128.750
ANC_04_CTR,135.300
APN_TWR,121.350
ASH_GND-,121.800
AS_GND,119.900
ASG_GND,121.600
ANK_5_CTR,128.625
APA_W_TWR,123.700
ANK_EN_CTR,122.275
APN_APP,128.425
ASEA_S_FSS,136.225
ANK_16_CTR,128.800
ANK_6_CTR,128.925
AS_TWR,118.300
ANC_15_CTR,120.900
APA_GND,121.800
ANC_05_CTR,125.700
ANK_W78_CTR,135.400
ANC_07_CTR,119.500
ASEA_E_FSS,135.800
ANC_14_CTR,119.300
AMM_APP,128.900
ANK_17_CTR,129.300
ANK_18_CTR,129.450
ARA_TWR,125.000
ANK_1_CTR,132.600
ANE_GND,121.850
APN_GND,121.900
ANK_S_CTR,120.275
ASEA_FSS,135.350
ANK_7_CTR,124.125
ANC_69_CTR,133.800
APF_TWR,128.500
ANC_63_CTR,125.950
ANK_19_CTR,130.125
ANK_E_CTR,121.450
ANK_C_CTR,119.425
APA_DEL,128.600
ANK_WN_CTR,119.300
APF_DEL,118.000
ASEA_1_FSS,135.350
ANK_N_CTR,118.550
ANK_ES_CTR,124.075
APC_GND,121.700
ANK_CTR,129.425
ARR_GND,121.700
APC_DEL,127.850
ANC_13_CTR,125.200
ASEA_N_FSS,133.350
ANK_11_CTR,127.925
ANC_08_CTR,126.100
ATL_03_CTR,128.725
ATL_34_CTR,120.425
ATL_L5_TWR,119.500
ATL_DR_CTR,125.575
ATL_39_CTR,125.925
ATL_A5_CTR,125.575
ATL_C_GND,121.750
ATL_04_CTR,134.950
ATL_12_CTR,127.300
ATL_A6_CTR,128.725
ATL_06_CTR,133.175
ATL_7L_CTR,133.100
ATL_20_GND,130.775
ATL_11_CTR,128.025
ATL_1L_CTR,132.625
ATL_37_CTR,126.675
ATL_13_CTR,120.550
ATL_A2_CTR,125.625
ATL_A7_CTR,126.675
ATL_41_CTR,133.600
ATL_H_APP,127.900
ATL_08_CTR,125.875
ATL_31_CTR,135.350
ATL_L1_TWR,119.100
ATL_G_APP,128.575
ATL_44_CTR,132.625
ATL_28_CTR,125.025
ATL_36_CTR,124.875
ATL_20_CTR,126.425
ATL_L_APP,128.525
ATL_4L_CTR,123.950
ATL_D_APP,128.000
ATL_A4_CTR,126.425
ATL_40_CTR,134.075
ATL_A_APP,135.375
ATL_18_CTR,134.800
ATL_L2_TWR,125.325
ATL_L4_TWR,119.300
ATL_DD_CTR,1331.750
ATL_AL_CTR,125.575
ATL_38_CTR,133.100
ATL_3L_CTR,134.200
ATL_5L_CTR,120.450
ATL_49_CTR,121.350
ATL_HI_CTR,132.975
ATL_1_DEL,118.100
ATL_B_GND,121.900
ATL_33_CTR,124.425
ATL_F_APP,121.000
ATL_09_CTR,120.450
ATL_16_CTR,134.200
ATL_6L_CTR,134.950
ATL_01_CTR,135.175
ATL_I_APP,121.225
ATL_15_CTR,126.775
ATL_47_CTR,134.550
ATL_AV_CTR,133.175
ATL_10_CTR,125.575
ATL_CTR,132.975
ATL_21_CTR,134.500
ATL_02_CTR,126.825
ATL_22_CTR,119.375
ATL_27_CTR,125.825
ATL_30_CTR,133.150
