SID:010,2,ANSA1A,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1690,    ,+,01500,     ,11000, ,   ,    ,   ,BAC,WI,D, , , , , ;
SID:020,2,ANSA1A,RW17, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,3600,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,ANSA1A,RW17,D038J,WI,P,C,E   , ,   ,CF, ,BAC,WI,D, ,      ,0380,0100,0380,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ANSA1A,RW17,ANSAX,WI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ANSA2E,RW17, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,1690,    ,+,01500,     ,11000, ,   ,    ,   ,WITT,WI,P,A, , , , ;
SID:020,5,ANSA2E,RW17,TT406,WI,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,ANSA2E,RW17,TT422,WI,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,08500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ANSA2E,RW17,TT426,WI,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ANSA2E,RW17,ANSAX,WI,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ANSA2F,RW35, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,3490,    ,+,02000,     ,11000, ,   ,    ,   ,WITT,WI,P,A, , , , ;
SID:020,5,ANSA2F,RW35,TT419,WI,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,-,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ANSA2F,RW35,TT407,WI,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,08500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ANSA2F,RW35,TT408,WI,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ANSA2F,RW35,ANSAX,WI,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ANSA3B,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3490,    ,+,02000,     ,11000, ,   ,    ,   ,BAC,WI,D, , , , , ;
SID:020,2,ANSA3B,RW35, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0400,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ANSA3B,RW35,ANSAX,WI,E,A,EEC , ,   ,CF, ,BAC,WI,D, ,      ,0112,0290,0110,0230, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,AVDI1A,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1690,    ,+,01500,     ,11000, ,   ,    ,   ,BAC,WI,D, , , , , ;
SID:020,2,AVDI1A,RW17, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,0700,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,AVDI1A,RW17,D108J,WI,P,C,E   , ,   ,CF, ,BAC,WI,D, ,      ,1082,0100,1080,0040,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,AVDI1A,RW17,AVDIN,WI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,AVDI1B,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3490,    ,+,02000,     ,11000, ,   ,    ,   ,BAC,WI,D, , , , , ;
SID:020,2,AVDI1B,RW35, , , , ,    ,R,   ,CR,Y,BAC,WI,D, ,      ,0780,    ,1680,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,AVDI1B,RW35, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1680,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,AVDI1B,RW35,BAC,WI,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,AVDI1B,RW35,AVDIN,WI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AVDI1C,RW17, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,1690,    ,+,00500,     ,11000, ,   ,    ,   ,WITT,WI,P,A, , , , ;
SID:020,5,AVDI1C,RW17,SUPMI,WI,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AVDI1C,RW17,TT410,WI,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,AVDI1C,RW17,AVDIN,WI,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AVDI1D,RW35, , , , ,    , ,010,VA, , , , , ,      ,    ,    ,3490,    ,+,02000,     ,11000, ,   ,    ,   ,WITT,WI,P,A, , , , ;
SID:020,5,AVDI1D,RW35,TEUKU,WI,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,-,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AVDI1D,RW35,TT410,WI,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,AVDI1D,RW35,AVDIN,WI,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BULV1A,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1690,    ,+,01500,     ,11000, ,   ,    ,   ,BAC,WI,D, , , , , ;
SID:020,2,BULV1A,RW17,BAC,WI,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BULV1A,RW17,D237J,WI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,2,BULV1A,RW17,EMREB,WI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BULV1A,RW17,BULVA,WI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
