RWY:RW04 ,     ,      ,00463, ,    , ,   ;N52361300,W001014800,0000;
RWY:RW06 ,     ,      ,00463, ,    , ,   ;N52361800,W001015150,0000;
RWY:RW10 ,     ,      ,00450, ,    , ,   ;N52363000,W001022000,0000;
RWY:RW15 ,     ,      ,00464, ,    , ,   ;N52362800,W001020200,0000;
RWY:RW16 ,     ,      ,00464, ,    , ,   ;N52362700,W001015900,0000;
RWY:RW22 ,     ,      ,00467, ,    , ,   ;N52362600,W001013200,0000;
RWY:RW24 ,     ,      ,00469, ,    , ,   ;N52362570,W001013770,0000;
RWY:RW28 ,     ,      ,00467, ,    , ,   ;N52362680,W001013050,0000;
RWY:RW33 ,     ,      ,00463, ,    , ,   ;N52361400,W001014900,0000;
RWY:RW34 ,     ,      ,00463, ,    , ,   ;N52361500,W001014700,0000;
