SID:010,2,KT2B,RW27,DC,RC,D,B,E   , ,   ,CF, ,TNN,RC,D, ,      ,1601,0303,2720,0020, ,     ,     ,11000, ,   ,    ,   ,DC,RC,D,B, , , , ;
SID:020,2,KT2B,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2700,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KT2B,RW27,TIMER,RC,P,C,E   ,L,   ,CF, ,TNN,RC,D, ,      ,1730,0610,1730,0300, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KT2B,RW27,HCN,RC,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PT2B,RW27,DC,RC,D,B,E   , ,   ,CF, ,TNN,RC,D, ,      ,1601,0303,2720,0020, ,     ,     ,11000, ,   ,    ,   ,DC,RC,D,B, , , , ;
SID:020,2,PT2B,RW27,TNN28,RC,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PT2B,RW27,TNN,RC,D, ,VE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,TNN,RW09,TNN,RC,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,13000, ,   ,    ,   ,DC,RC,D,B, , , , ;
STAR:020,2,TNN,RW09,YUNAN,RC,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,I09,YUNAN,YUNAN,RC,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,13000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I09,YUNAN,D281L,RC,P,C,EY  , ,   ,CF, ,TNN,RC,D, ,      ,1840,0260,1840,0080, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I09,YUNAN, , , , , E  ,L,   ,CI, ,IPIT,RC,P,I,      ,    ,    ,1220,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I09, ,CI09,RC,P,C,E  I, ,   ,IF, ,IPIT,RC,P,I,      ,2713,0151,    ,    ,J,03000,03000,13000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I09, ,FI09,RC,P,C,E  F, ,   ,CF, ,IPIT,RC,P,I,      ,2713,0103,0920,0048,H,03000,03000,     , ,   ,-300,   ,DC,RC,D,B, ,0,D,S;
APPCH:030,I,I09, ,RW09,RC,P,G,G  M, ,   ,CF, ,IPIT,RC,P,I,      ,2718,0015,0920,0088, ,00126,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I09, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0920,    ,+,00700,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I09, , , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,2250,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I09, ,D360J,RC,P,C,E   , ,   ,CF, ,TNN,RC,D, ,      ,1650,0399,1800,0025, ,03400,     ,     ,-,185,    ,   , , , , , ,0,D,S;
APPCH:070,I,I09, ,D360J,RC,P,C,EE H,L,   ,HM, , , , , ,      ,    ,    ,1800,T010, ,03400,     ,     ,-,210,    ,   , , , , , ,0,D,S;
APPCH:010,A,L09,YUNAN,YUNAN,RC,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,13000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,L09,YUNAN,D281L,RC,P,C,EY  , ,   ,CF, ,TNN,RC,D, ,      ,1840,0260,1840,0080, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,L09,YUNAN, , , , , E  ,L,   ,CI, ,IPIT,RC,P,I,      ,    ,    ,1220,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,L,L09, ,CL09,RC,P,C,E  I, ,   ,IF, ,IPIT,RC,P,I,      ,2720,0151,    ,    ,+,03000,     ,13000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:015,L,L09, ,LOC10,RC,P,C,E S , ,   ,CF, ,IPIT,RC,P,I,      ,2720,0103,0920,0048,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,L,L09, ,FL09,RC,P,C,E  F, ,   ,CF, ,IPIT,RC,P,I,      ,2720,0067,0920,0036,+,01830,     ,     , ,   ,-300,   ,DC,RC,D,B, ,0,D,S;
APPCH:025,L,L09, ,40LOC,RC,P,C,E S , ,   ,CF, ,IPIT,RC,P,I,      ,2720,0039,0920,0028,+,00900,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:030,L,L09, ,DC,RC,D,B,E  M, ,   ,CF, ,IPIT,RC,P,I,      ,2719,0028,0920,0012, ,00531,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,L,L09, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0920,    ,+,00700,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,L,L09, , , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,2250,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,L,L09, ,D360J,RC,P,C,E   , ,   ,CF, ,TNN,RC,D, ,      ,1650,0399,1800,0025, ,03400,     ,     ,-,185,    ,   , , , , , ,0,D,S;
APPCH:070,L,L09, ,D360J,RC,P,C,EE H,L,   ,HM, , , , , ,      ,    ,    ,1800,T010, ,03400,     ,     ,-,210,    ,   , , , , , ,0,D,S;
APPCH:010,A,Q09,YUNAN,YUNAN,RC,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,13000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,Q09,YUNAN,CQ09,RC,P,C,EE B, ,   ,CF, ,TNN,RC,D, ,      ,1841,0286,1840,0106,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,Q,Q09, ,CQ09,RC,P,C,E  I, ,   ,IF, ,DC,RC,D,B,      ,    ,    ,    ,    ,+,03000,     ,13000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:015,Q,Q09, ,92DME,RC,P,C,E S , ,   ,CF, ,DC,RC,D,B,      ,    ,    ,0900,0046,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,Q,Q09, ,FQ09,RC,P,C,E  F, ,   ,CF, ,DC,RC,D,B,      ,    ,    ,0900,0042,+,01670,     ,     , ,   ,-300,   ,DC,RC,D,B, ,0, ,S;
APPCH:025,Q,Q09, ,23DME,RC,P,C,E S , ,   ,CF, ,DC,RC,D,B,      ,    ,    ,0900,0027,+,00800,     ,     , ,   ,-300,   , , , , , ,0, ,S;
