APPCH:010,A,D36-Z,JJU1,JJU,VI,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,D36-Z,JJU1,JJU,VI,D, ,V   , ,   ,FD, ,JJU,VI,D, ,      ,0000,0000,1510,0065,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D36-Z,JJU1,FD36Z,VI,P,C,EE  ,R,   ,CF,Y,JJU,VI,D, ,      ,1710,0055,3510,0020,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D36-Z,JJU2,JJU,VI,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,D36-Z,JJU2,JJU,VI,D, ,V   , ,   ,FD, ,JJU,VI,D, ,      ,0000,0000,1590,0065,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D36-Z,JJU2,FD36Z,VI,P,C,EE  ,R,   ,CF,Y,JJU,VI,D, ,      ,1710,0055,3510,0020,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D36-Z, ,FD36Z,VI,P,C,E  F, ,   ,IF, ,JJU,VI,D, ,      ,1710,0055,    ,    ,+,02600,     ,     , ,   ,    ,   ,JJU,VI,D, ,B,0, ,S;
APPCH:030,D,D36-Z, ,MD36Z,VI,P,C,E  M, ,   ,CF, ,JJU,VI,D, ,      ,1710,0017,3510,0038, ,01378,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D36-Z, ,MD36Z,VI,P,C,E M , ,   ,FD, ,JJU,VI,D, ,      ,1710,0017,3400,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D36-Z, ,JJU,VI,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:060,D,D36-Z, ,JJU,VI,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,1510,T010,+,04100,     ,     ,-,220,    ,   , , , , , ,0, ,S;
APPCH:010,A,S36-Y,JJU1,JJU,VI,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,S36-Y,JJU1,JJU,VI,D, ,VY  , ,   ,FC, ,JJU,VI,D, ,      ,0000,0000,1510,0062,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S36-Y,JJU1,FS36Y,VI,P,C,EE  ,R,   ,CF,Y,JJU,VI,D, ,      ,1710,0055,3510,0010,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S36-Y,JJU2,JJU,VI,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,S36-Y,JJU2,JJU,VI,D, ,VY  , ,   ,FC, ,JJU,VI,D, ,      ,0000,0000,1590,0062,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S36-Y,JJU2,FS36Y,VI,P,C,EE  ,R,   ,CF,Y,JJU,VI,D, ,      ,1710,0055,3510,0010,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S36-Y, ,FS36Y,VI,P,C,E  F, ,   ,IF, ,JJU,VI,D, ,      ,1710,0055,    ,    ,+,02600,     ,     , ,   ,    ,   ,JJU,VI,D, ,A,0, ,S;
APPCH:030,S,S36-Y, ,RW36,VI,P,G,G  M, ,   ,CF, ,JJU,VI,D, ,      ,1653,0005,3510,0050, ,01009,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S36-Y, ,JJU,VI,D, ,VYM , ,   ,CF, ,JJU,VI,D, ,      ,0000,0000,3510,0005, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S36-Y, ,JJU,VI,D, ,VY  , ,   ,FC, ,JJU,VI,D, ,      ,0000,0000,3400,0046, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S36-Y, ,JJU,VI,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:070,S,S36-Y, ,JJU,VI,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,1510,T010,+,04100,     ,     ,-,220,    ,   , , , , , ,0, ,S;
RWY:RW18 ,     ,      ,00957, ,    , ,   ;N32420700,E074501500,0000;
RWY:RW36 ,     ,      ,00952, ,    , ,   ;N32404777,E074501948,0000;
