APPCH:020,R,R16-X, ,ULDAT,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1640,0045,+,01900,     ,     , ,   ,    ,   ,RW16,CY,P,G, ,A,W,S;
PRDAT:A,       LPV, ,          , ,          , ,   , ,   , ,   , ,   ,W,S;
APPCH:030,R,R16-X, ,RW16,CY,P,G,GY M, ,   ,TF, , , , , ,      ,    ,    ,1640,0056, ,00122,     ,     , ,   ,-300,   , , , , , ,A,W,S;
APPCH:040,R,R16-X, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,1640,    ,+,00600,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:050,R,R16-X, ,EPNOD,CY,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:060,R,R16-X, ,EPNOD,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,2990,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,A,W,S;
APPCH:010,A,R16-Z,IKMUV,IKMUV,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,B,J,S;
APPCH:020,A,R16-Z,IKMUV,PESGU,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,190,    ,   , , , , , ,B,J,S;
APPCH:010,A,R16-Z,NANOO,NANOO,CY,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R16-Z,NANOO,TAPGA,CY,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:030,A,R16-Z,NANOO,PESGU,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,190,    ,   , , , , , ,B,J,S;
APPCH:010,A,R16-Z,TREEL,TREEL,CY,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R16-Z,TREEL,PESGU,CY,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,190,    ,   , , , , , ,B,J,S;
APPCH:010,R,R16-Z, ,PESGU,CY,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000,-,190,    ,   , , , , , ,B,J,S;
APPCH:020,R,R16-Z, ,ULDAT,CY,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1640,0045,+,01910,     ,     , ,   ,    ,   ,VOKIN,CY,P,C, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R16-Z, ,VOKIN,CY,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1640,0041, ,00600,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R16-Z, ,EPNOD,CY,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R16-Z, ,EPNOD,CY,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,2990,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,B,J,S;
RWY:RW16 ,     ,      ,00076, ,ICD ,1,   ;N49034699,W123521174,0197;
RWY:RW34 ,     ,      ,00090, ,    , ,   ;N49025368,W123521295,1002;
