APPCH:010,A,RNVN,ZB2ND,ZB2ND,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03300,     ,11000,-,210,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVN,ZB2ND,ZB2NI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03250,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVN,ZB2NE,ZB2NE,YB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03300,     ,11000,-,210,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVN,ZB2NE,ZB2NI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03250,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVN,ZB2NG,ZB2NG,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03300,     ,11000,-,210,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVN,ZB2NG,ZB2NI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03250,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVN, ,ZB2NI,YB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03250,     ,11000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVN, ,ZB2NF,YB,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2250,0050,+,01660,     ,     , ,   ,    ,   ,YBWN,YB,P,A, ,B,J,C;
APPCH:030,R,RNVN, ,RW22,YB,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2250,0050, ,00065,     ,     , ,   ,-300,   , , , , , ,B,J,C;
APPCH:040,R,RNVN, ,ZB2NH,YB,P,C,EYM , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:045,R,RNVN, , , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2250,    ,+,01500,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVN, , , , , , E  ,L,010,VM,Y, , , , ,      ,    ,    ,0700,    ,+,03300,     ,     ,-,190,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVS,ZB2SA,ZB2SA,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,11000,-,210,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVS,ZB2SA,ZB2SI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03260,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVS,ZB2SB,ZB2SB,YB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,11000,-,210,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVS,ZB2SB,ZB2SI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03260,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVS,ZB2SC,ZB2SC,YB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,11000,-,210,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVS,ZB2SC,ZB2SI,YB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03260,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVS, ,ZB2SI,YB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03260,     ,11000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVS, ,ZB2SF,YB,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0400,0050,+,01670,     ,     , ,   ,    ,   ,YBWN,YB,P,A, ,B,J,C;
APPCH:030,R,RNVS, ,RW04,YB,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0400,0050, ,00076,     ,     , ,   ,-300,   , , , , , ,B,J,C;
APPCH:040,R,RNVS, ,ZB2SH,YB,P,C,E M , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVS, , , , , , E  , ,010,CA, , , , , ,      ,    ,    ,0400,    ,+,03300,     ,     , ,   ,    ,   , , , , , ,B,J,C;
RWY:RW04 ,-0300,      ,00026, ,    , ,   ;S20012395,E148123266,0000;
RWY:RW12 ,-0200,      ,00022, ,    , ,   ;S20005289,E148123787,0000;
RWY:RW22 ,     ,      ,00015, ,    , ,   ;S20005704,E148130444,0262;
RWY:RW30 ,     ,      ,00015, ,    , ,   ;S20010971,E148130329,0000;
