APPCH:010,I,I28, ,CI28,HL,P,C,E  I, ,   ,IF, ,ILB,HL,P,I,      ,1006,0093,    ,    ,J,04500,04500,07000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I28, ,FI28,HL,P,C,E  F, ,   ,CF, ,ILB,HL,P,I,      ,1006,0062,2810,0031,H,04500,03500,     , ,   ,-300,   ,LAB,HL,D,B, ,0,D,S;
APPCH:030,I,I28, ,RW28,HL,P,G,G  M, ,   ,CF, ,ILB,HL,P,I,      ,1006,0021,2810,0041, ,02207,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I28, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2810,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I28, ,LAB,HL,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     ,-,210,    ,   , , , , , ,0,D,S;
APPCH:060,I,I28, ,LAB,HL,D,B,EE H,R,   ,HM, , , , , ,      ,    ,    ,1010,T010,+,04500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,N,N10, ,FN10,HL,P,C,E  F, ,   ,IF, ,LAB,HL,D,B,      ,    ,    ,    ,    ,+,04500,     ,07000, ,   ,    ,   ,LAB,HL,D,B, ,0, ,S;
APPCH:030,N,N10, ,RW10,HL,P,G,G  M, ,   ,CF, ,LAB,HL,D,B,      ,    ,    ,1010,0072, ,02207,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N10, ,LAB,HL,D,B,EYM , ,   ,CF, ,LAB,HL,D,B,      ,0000,0000,1010,0045, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N10, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1010,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N10, ,LAB,HL,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:070,N,N10, ,LAB,HL,D,B,EE H,L,   ,HM, , , , , ,      ,    ,    ,2810,T010,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N28, ,LAB,HL,D,B,E  F, ,   ,IF, ,LAB,HL,D,B,      ,    ,    ,    ,    ,+,03000,     ,07000, ,   ,    ,   ,LAB,HL,D,B, ,0, ,S;
APPCH:030,N,N28, ,RW28,HL,P,G,G  M, ,   ,CF, ,LAB,HL,D,B,      ,    ,    ,2810,0025, ,02207,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N28, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2810,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N28, ,LAB,HL,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:060,N,N28, ,LAB,HL,D,B,EE H,R,   ,HM, , , , , ,      ,    ,    ,1010,T010,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW10 ,     ,      ,02157, ,    , ,   ;N32473954,E021560270,0000;
RWY:RW28 ,     ,      ,02157, ,ILB ,1,   ;N32471404,E021581770,0000;
