SID:010,1,SZE1,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0930,    ,+,00500,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,SZE1,RW09,SZE,RJ,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,SZE1,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2730,    ,+,00500,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,SZE1,RW27,SZE,RJ,D, ,VE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,XAC4,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0930,    ,+,00530,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,XAC4,RW09,YZT41,RJ,P,C,E   , ,   ,CF, ,YZT,RJ,D, ,      ,1040,0405,1040,0400, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,XAC4,RW09,XAC,RJ,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,XAC4,RW27, , , , ,    , ,   ,CD, ,YZT,RJ,D, ,      ,    ,    ,2730,0023, ,     ,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,XAC4,RW27, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1340,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,XAC4,RW27,YZT41,RJ,P,C,E   , ,   ,CF, ,YZT,RJ,D, ,      ,1040,0405,1040,0390, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,XAC4,RW27,XAC,RJ,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,YZT3R,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0930,    ,+,00530,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,YZT3R,RW09,YZT,RJ,D, ,V   , ,   ,FD, ,YZT,RJ,D, ,      ,0000,0000,1040,0170, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,YZT3R,RW09,YZT,RJ,D, ,VE  ,L,   ,CF,Y,YZT,RJ,D, ,      ,0000,0000,2700,0170, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
