SID:010,5,EDRON5,RW30, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2970,    ,+,02500,     ,10000, ,   ,    ,   , , , , , , , , ;
SID:020,5,EDRON5,RW30,UMBUX,SC,P,C,E C ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,B,09000,07500,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EDRON5,RW30,SE270,SC,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,EDRON5,RW30,SE350,SC,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,EDRON5,RW30,EDRON,SC,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ISGUD7,RW12,SE041,SC,P,C,E   , ,010,CF, ,SER,SC,D, ,      ,1184,0044,1170,0040,+,02300,     ,10000, ,   ,    ,   , , , , , , , , ;
SID:020,5,ISGUD7,RW12,SE150,SC,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ISGUD7,RW12,SE423,SC,P,C,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,5,ISGUD7,RW12,LOMIR,SC,P,C,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ISGUD7,RW12,ISGUD,SC,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,KILI1J,RW30, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2970,    ,+,02500,     ,10000, ,   ,    ,   , , , , , , , , ;
SID:020,5,KILI1J,RW30,KUBUS,SC,P,C,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,B,08000,07000,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,KILI1J,RW30,KILIN,SC,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,KILI1K,RW12, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,1170,    ,+,04500,     ,10000, ,   ,    ,   , , , , , , , , ;
SID:020,5,KILI1K,RW12,SE316,SC,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,KILI1K,RW12,KILIN,SC,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,KILI1L,RW12,SE030,SC,P,C,E   , ,302,CF, ,SER,SC,D, ,      ,1190,0034,1170,0030,+,01250,     ,10000, ,   ,    ,   , , , , , , , , ;
SID:020,5,KILI1L,RW12,SE065,SC,P,C,E   , ,302,TF, , , , , ,      ,    ,    ,    ,    ,+,02100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,KILI1L,RW12,SE170,SC,P,C,E   ,L,302,RF, , , , , ,004520,    ,    ,    ,0104,+,04800,     ,     , ,   ,    ,   ,SE995,SC,P,C, , , , ;
SID:040,5,KILI1L,RW12,SE316,SC,P,C,E   , ,302,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,KILI1L,RW12,KILIN,SC,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MIBA3J,RW30, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2970,    ,+,02500,     ,10000, ,   ,    ,   , , , , , , , , ;
SID:020,5,MIBA3J,RW30,UMBUX,SC,P,C,E C ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,B,09000,07500,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,MIBA3J,RW30,ANDAK,SC,E,A,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,MIBA3J,RW30,SE423,SC,P,C,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,MIBA3J,RW30,NIRNU,SC,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL170,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,MIBA3J,RW30,SE672,SC,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
