SID:010,2,ALX2A,RW04R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0370,    ,+,02500,     ,04000, ,   ,    ,   ,LMO,LG,D, , , , , ;
SID:020,2,ALX2A,RW04R,LMO,LG,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ALX2A,RW04R, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0540,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,ALX2A,RW04R,D024Q,LG,P,C,E   , ,   ,CF, ,LMO,LG,D, ,      ,0243,0170,0240,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ALX2A,RW04R,ALX,LG,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ALX2B,RW22L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2170,    ,+,02500,     ,04000, ,   ,    ,   ,LMO,LG,D, , , , , ;
SID:020,2,ALX2B,RW22L,LMO,LG,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL050,     ,     ,-,210,    ,   , , , , , , , , ;
SID:025,2,ALX2B,RW22L,D024Q,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ALX2B,RW22L,ALX,LG,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KORO2A,RW04R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0370,    ,+,02500,     ,04000, ,   ,    ,   ,LMO,LG,D, , , , , ;
SID:020,2,KORO2A,RW04R,LMO,LG,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL050,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,KORO2A,RW04R,STINO,LG,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KORO2A,RW04R,KOROS,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KORO2B,RW22L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2170,    ,+,02500,     ,04000, ,   ,    ,   ,LMO,LG,D, , , , , ;
SID:020,2,KORO2B,RW22L, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1610,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KORO2B,RW22L,STINO,LG,E,A,E C , ,   ,CF, ,LMO,LG,D, ,      ,1910,0206,1910,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KORO2B,RW22L,KOROS,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KPL2A,RW04R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0370,    ,+,02500,     ,04000, ,   ,    ,   ,LMO,LG,D, , , , , ;
