APPCH:010,A,I05,JAKUP,JAKUP,LT,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0490,0070,+,03500,     ,     ,-,250,    ,   , , , , , ,0,N,S;
APPCH:010,A,I05,OSLUP,OSLUP,LT,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL140,08000,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I05,OSLUP,D220O,LT,P,C,E   ,R,   ,AF, ,DAN,LT,D, ,      ,2200,0150,1800,    ,+,03500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I05,OSLUP, , , , , E  , ,   ,VI, ,IDAN,LT,P,I,      ,    ,    ,0190,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I05, ,JAKUP,LT,P,C,E  I, ,   ,IF, ,IDAN,LT,P,I,      ,2290,0147,    ,    ,J,03500,02300,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I05, ,GOMSE,LT,P,C,E  F, ,   ,CF, ,IDAN,LT,P,I,      ,2289,0083,0490,0064,H,02300,02300,     , ,   ,-300,   ,DAN,LT,D, ,B,0,N,S;
APPCH:030,I,I05, ,RW05,LT,P,G,G  M, ,   ,CF, ,IDAN,LT,P,I,      ,2289,0019,0490,0064, ,00248,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I05, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0490,    ,+,00640,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I05, ,TOSIE,LT,P,C,E   , ,   ,CF, ,DAN,LT,D, ,      ,0489,0150,0490,0170,+,05000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I05, ,TOSIE,LT,P,C,EE H,L,   ,HM, , , , , ,      ,    ,    ,2290,0070,-,09000,     ,     ,-,250,    ,   , , , , , ,0,N,S;
APPCH:010,A,I23,OGBON,OGBON,LT,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I23,OGBON,TOSIE,LT,P,C,E  B,R,   ,AF, ,DAN,LT,D, ,      ,0489,0150,3600,    ,+,04700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I23,OGBON,GURLE,LT,P,C,EE  , ,   ,CF, ,IDNA,LT,P,I,      ,0489,0144,2290,0030,+,03800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I23,TOSIE,TOSIE,LT,P,C,E  C,L,   ,HF, , , , , ,      ,    ,    ,2290,0070,+,05000,     ,     ,-,250,    ,   , , , , , ,0,N,S;
APPCH:020,A,I23,TOSIE,GURLE,LT,P,C,EE  , ,   ,CF, ,IDNA,LT,P,I,      ,0489,0144,2290,0030,+,03800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I23, ,GURLE,LT,P,C,E  I, ,   ,IF, ,IDNA,LT,P,I,      ,0489,0144,    ,    ,J,03800,02300,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I23, ,JAYBY,LT,P,C,E  F, ,   ,CF, ,IDNA,LT,P,I,      ,0489,0081,2290,0063,H,02300,02300,     , ,   ,-300,   ,DAN,LT,D, ,B,0,N,S;
APPCH:030,I,I23, ,RW23,LT,P,G,G  M, ,   ,CF, ,IDNA,LT,P,I,      ,0489,0019,2290,0062, ,00282,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I23, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2290,    ,+,00640,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I23, ,JAKUP,LT,P,C,E   , ,   ,CF, ,ADA,LT,D, ,      ,1833,0046,2290,0155,+,03500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I23, ,JAKUP,LT,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0490,0070,-,09000,     ,     ,-,250,    ,   , , , , , ,0,N,S;
APPCH:010,A,R05,JAKUP,JAKUP,LT,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0490,0070,+,03500,     ,     ,-,250,    ,   , , , , , ,B,J,S;
APPCH:010,R,R05, ,JAKUP,LT,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R05, ,GOMSE,LT,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0490,0064,+,02300,     ,     , ,   ,    ,   ,LTAG,LT,P,A, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R05, ,RW05,LT,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0490,0064, ,00219,     ,     , ,   ,-306,   , , , , , ,B,J,S;
APPCH:040,R,R05, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0490,    ,+,00620,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R05, ,TOSIE,LT,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R05, ,TOSIE,LT,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,2290,0070,-,09000,     ,     ,-,250,    ,   , , , , , ,B,J,S;
APPCH:010,A,R23,TOSIE,TOSIE,LT,P,C,EE C,L,   ,HF, , , , , ,      ,    ,    ,2290,0070,+,05000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R23, ,TOSIE,LT,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R23, ,JAYBY,LT,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2290,0093,+,02300,     ,     , ,   ,    ,   ,RW23,LT,P,G, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:024,R,R23, ,HABIM,LT,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,2290,0027,+,01400,     ,     , ,   ,-347,   , , , , , ,B,J,S;
