SID:010,4,EEVAA1,RW17L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1700,    ,+,01020,     ,18000, ,   ,    ,   ,KSDF,K5,P,A, , , , ;
SID:020,4,EEVAA1,RW17L,DROPA,K5,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,4,EEVAA1,RW17L,ROARY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,EEVAA1,RW17L,EEVAA,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,EEVAA1,RW17R, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1700,    , ,     ,     ,18000, ,   ,    ,   ,KSDF,K5,P,A, , , , ;
SID:020,4,EEVAA1,RW17R,EAZIE,K5,P,C,E   , ,   ,CF, ,ROD,K5,D, ,      ,2158,1567,1850,0065, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,EEVAA1,RW17R,WWODY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,EEVAA1,RW17R,EEVAA,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,EEVAA1,RW29, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2960,    , ,     ,     ,18000, ,   ,    ,   ,KSDF,K5,P,A, , , , ;
SID:020,4,EEVAA1,RW29,GADSN,K5,P,C,E   , ,   ,CF, ,ROD,K5,D, ,      ,2190,1512,2720,0029, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,EEVAA1,RW29,LUUKE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,EEVAA1,RW29,PEANT,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,EEVAA1,RW29,FEEBE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,EEVAA1,RW29,EEVAA,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,EEVAA1,RW35L, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,3500,    , ,     ,     ,18000, ,   ,    ,   ,KSDF,K5,P,A, , , , ;
SID:020,4,EEVAA1,RW35L,RRROE,K5,P,C,E   , ,   ,CF, ,ROD,K5,D, ,      ,2201,1456,3350,0058, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,EEVAA1,RW35L,BUDDR,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,EEVAA1,RW35L,FLEYE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,EEVAA1,RW35L,KOBEZ,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,250,    ,   , , , , , , , , ;
SID:060,4,EEVAA1,RW35L,EEVAA,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,EEVAA1,RW35R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3500,    ,+,01020,     ,18000, ,   ,    ,   ,KSDF,K5,P,A, , , , ;
