APPCH:010,D,D02-Z, ,CD02Z,DG,P,C,E  I, ,   ,IF, ,KSI,DG,D, ,      ,2000,0100,    ,    ,+,02600,     ,04000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D02-Z, ,FD02Z,DG,P,C,E  F, ,   ,CF, ,KSI,DG,D, ,      ,2000,0052,0200,0048,+,02600,     ,     , ,   ,    ,   ,KSI,DG,D, , ,0, ,S;
APPCH:030,D,D02-Z, ,RW02,DG,P,G,G  M, ,   ,CF, ,KSI,DG,D, ,      ,2191,0002,0200,0050, ,00993,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D02-Z, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0200,    ,+,01350,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D02-Z, ,KSI,DG,D, ,V   , ,   ,FA, ,KSI,DG,D, ,      ,0000,0000,0200,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D02-Z, ,KSI,DG,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03600,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:070,D,D02-Z, ,KSI,DG,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,2000,T010,+,03600,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:010,A,D20-Z,D106J,D106J,DG,P,C,E CA, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL075,     ,04000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D20-Z,D106J,CD20Z,DG,P,C,EECB,L,   ,AF, ,KSI,DG,D, ,      ,0130,0100,1060,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D20-Z,D286J,D286J,DG,P,C,E CA, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL075,     ,04000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D20-Z,D286J,CD20Z,DG,P,C,EECB,R,   ,AF, ,KSI,DG,D, ,      ,0130,0100,2860,    ,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D20-Z,KSI1,KSI,DG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,04000,-,210,    ,   , , , , , ,0, ,S;
APPCH:020,A,D20-Z,KSI1,KSI,DG,D, ,V   , ,   ,FD, ,KSI,DG,D, ,      ,0000,0000,0300,0100,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D20-Z,KSI1,CD20Z,DG,P,C,EECB,L,   ,CF,Y,KSI,DG,D, ,      ,0130,0100,1930,0010,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D20-Z,KSI2,KSI,DG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,04000,-,140,    ,   , , , , , ,0, ,S;
APPCH:020,A,D20-Z,KSI2,KSI,DG,D, ,V   , ,   ,FD, ,KSI,DG,D, ,      ,0000,0000,0220,0100,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D20-Z,KSI2,CD20Z,DG,P,C,EECB,L,   ,CF,Y,KSI,DG,D, ,      ,0130,0100,1930,0010,+,02400,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D20-Z, ,CD20Z,DG,P,C,E  I, ,   ,IF, ,KSI,DG,D, ,      ,0130,0100,    ,    ,+,02400,     ,04000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D20-Z, ,FF20,DG,P,C,E  F, ,   ,CF, ,KSI,DG,D, ,      ,0130,0053,1930,0047,+,02400,     ,     , ,   ,    ,   ,KSI,DG,D, , ,0, ,S;
APPCH:030,D,D20-Z, ,RW20,DG,P,G,G  M, ,   ,CF, ,KSI,DG,D, ,      ,0102,0009,1930,0044, ,00994,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D20-Z, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1930,    ,+,01350,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D20-Z, ,KSI,DG,D, ,V   , ,   ,FA, ,KSI,DG,D, ,      ,0000,0000,1930,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D20-Z, ,KSI,DG,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03600,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:070,D,D20-Z, ,KSI,DG,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0130,T010,+,03600,     ,     ,-,210,    ,   , , , , , ,0, ,S;
APPCH:010,A,I20-Z,DEPIG,DEPIG,DG,P,C,E CA, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,04000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I20-Z,DEPIG,D001J,DG,P,C,E   ,R,   ,AF, ,KSI,DG,D, ,      ,0010,0100,2860,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I20-Z,DEPIG, , , , , E  , ,   ,VI, ,IKU,DG,P,I,      ,    ,    ,1660,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I20-Z,KILGI,KILGI,DG,P,C,E CA, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,04000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I20-Z,KILGI,D025J,DG,P,C,E   ,L,   ,AF, ,KSI,DG,D, ,      ,0250,0100,1060,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I20-Z,KILGI, , , , , E  , ,   ,VI, ,IKU,DG,P,I,      ,    ,    ,2260,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I20-Z,KSI1,KSI,DG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL040,     ,04000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I20-Z,KSI1,KSI,DG,D, ,V   , ,   ,FD, ,KSI,DG,D, ,      ,0000,0000,0310,0100,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I20-Z,KSI1,CI20,DG,P,C,EE B,L,   ,CF,Y,IKU,DG,P,I,      ,0155,0104,1960,0010,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I20-Z,KSI2,KSI,DG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL040,     ,04000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I20-Z,KSI2,KSI,DG,D, ,V   , ,   ,FD, ,KSI,DG,D, ,      ,0000,0000,0220,0100,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I20-Z,KSI2,CI20,DG,P,C,EE B,L,   ,CF,Y,IKU,DG,P,I,      ,0155,0104,1960,0010,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I20-Z, ,CI20,DG,P,C,E  D, ,   ,IF, ,IKU,DG,P,I,      ,0155,0104,    ,    ,J,02600,02600,04000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I20-Z, ,FI20,DG,P,C,E  F, ,   ,CF, ,IKU,DG,P,I,      ,0155,0064,1960,0040,H,02600,02600,     , ,   ,-300,   ,KSI,DG,D, , ,0,D,S;
APPCH:030,I,I20-Z, ,RW20,DG,P,G,G  M, ,   ,CF, ,IKU,DG,P,I,      ,0155,0013,1960,0051, ,00994,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I20-Z, ,RW20,DG,P,G,G M , ,   ,FA, ,KSI,DG,D, ,      ,0102,0009,1960,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I20-Z, ,KSI,DG,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,FL040,     ,     ,-,210,    ,   , , , , , ,0,D,S;
APPCH:060,I,I20-Z, ,KSI,DG,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0160,T010,+,FL040,     ,     ,-,220,    ,   , , , , , ,0,D,S;
APPCH:010,A,R02,SESAS,SESAS,DG,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL042,     ,04000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R02,SESAS,UBADO,DG,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R02,TERGO,TERGO,DG,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL042,     ,04000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R02,TERGO,UBADO,DG,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R02, ,UBADO,DG,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,04000, ,   ,    ,   , , , , , ,B,J,S;
