SID:010,5,DULA2B,RW32B,BN350,UB,P,C,E   , ,   ,CF, ,NAX,UB,D, ,      ,3116,0181,3120,0200,+,06500,     ,12000,-,210,    ,   ,NAX,UB,D, , , , , ;
SID:020,5,DULA2B,RW32B,BN351,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,DULA2B,RW32B,BN352,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DULA2B,RW32B,BN353,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DULA2B,RW32B,DULAV,UB,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DULA2D,RW32B,BN350,UB,P,C,E   , ,   ,CF, ,NAX,UB,D, ,      ,3116,0181,3120,0200,+,06500,     ,12000,-,210,    ,   ,NAX,UB,D, , , , , ;
SID:020,5,DULA2D,RW32B,BN351,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,DULA2D,RW32B,BN352,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DULA2D,RW32B,BN353,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DULA2D,RW32B,DULAV,UB,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DULA3A,RW14B,BN150,UB,P,C,E   , ,   ,CF, ,NAX,UB,D, ,      ,1314,0055,1320,0050,+,04000,     ,12000,-,210,    ,   ,NAX,UB,D, , , , , ;
SID:020,5,DULA3A,RW14B,BN151,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,DULA3A,RW14B,BN152,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,DULA3A,RW14B,BN155,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,5,DULA3A,RW14B,DULAV,UB,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DULA3C,RW14B,BN150,UB,P,C,E   , ,   ,CF, ,NAX,UB,D, ,      ,1314,0055,1320,0050,+,04000,     ,12000,-,210,    ,   ,NAX,UB,D, , , , , ;
SID:020,5,DULA3C,RW14B,BN151,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,DULA3C,RW14B,BN152,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,DULA3C,RW14B,BN155,UB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     ,-,210,    ,   , , , , , , , , ;
