SID:010,5,DEP05,RW05,AK05D,WB,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,11000, ,   ,    ,   ,WBAK,WB,P,A, , , , ;
SID:020,5,DEP05,RW05,ADBEP,WB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DEP05,RW05,DOVIL,WB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DEP05,RW05,OLTAG,WB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DEP05,RW05,MIBUX,WB,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DEP23,RW23,AK23D,WB,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,11000, ,   ,    ,   ,WBAK,WB,P,A, , , , ;
SID:020,5,DEP23,RW23,DUNAX,WB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,DEP23,RW23,OLMIR,WB,P,C,E   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DEP23,RW23,OLTAG,WB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,01500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DEP23,RW23,MIBUX,WB,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,01500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,ARR05,RW05,KALVI,WB,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,13000, ,   ,    ,   ,WBAK,WB,P,A, , , , ;
STAR:020,5,ARR05,RW05,LANOT,WB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ARR05,RW05,LANOV,WB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,ARR05,RW05,LERNA,WB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,ARR05,RW05,KABLO,WB,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,02000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,ARR23,RW23,KALVI,WB,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,13000, ,   ,    ,   ,WBAK,WB,P,A, , , , ;
STAR:020,5,ARR23,RW23,LANOT,WB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ARR23,RW23,LANOV,WB,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     , ,   ,    ,   , , , , , , , , ;
RWY:RW05 ,     ,      ,00009, ,    , ,   ;N04375940,E114223300,0000;
RWY:RW23 ,     ,      ,00009, ,    , ,   ;N04381440,E114225460,0000;
