SID:005,5,AGEK2A,RW04,DER04,UN,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,UNIP,UN,P,A, , , , ;
SID:010,5,AGEK2A,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0400,    ,+,00900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,AGEK2A,RW04,AGEKA,UN,E,A,EE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,AGEK2B,RW22,DER22,UN,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,UNIP,UN,P,A, , , , ;
SID:010,5,AGEK2B,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2200,    ,+,00900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,AGEK2B,RW22,AGEKA,UN,E,A,EE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,AGEK2C,RW04,DER04,UN,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,UNIP,UN,P,A, , , , ;
SID:010,2,AGEK2C,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0400,    ,+,00900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:015,2,AGEK2C,RW04, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,1650,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,AGEK2C,RW04,AGEKA,UN,E,A,EE  , ,   ,CF, ,PTG,UN,D, ,      ,1193,0264,1160,0200,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,AGEK2D,RW04,DER04,UN,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,UNIP,UN,P,A, , , , ;
SID:010,2,AGEK2D,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0400,    ,+,00900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:015,2,AGEK2D,RW04, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,1790,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,AGEK2D,RW04,AGEKA,UN,E,A,EE  , ,   ,CF, ,PTG,UN,D, ,      ,1193,0264,1130,0210,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,AGEK2E,RW22,DER22,UN,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,UNIP,UN,P,A, , , , ;
SID:010,2,AGEK2E,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2200,    ,+,00900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:015,2,AGEK2E,RW22, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,0600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
