SID:010,2,TUKD1C,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2850,    ,+,00650,     ,03000, ,   ,    ,   ,PAD,OI,D,B, , , , ;
SID:020,2,TUKD1C,RW29, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,1530,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,TUKD1C,RW29,TUKDO,OI,E,A,EEC , ,   ,CF, ,PAD,OI,D, ,      ,1817,0502,1830,0440, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,TUKD1D,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1050,    ,+,00650,     ,03000, ,   ,    ,   ,PAD,OI,D,B, , , , ;
SID:020,2,TUKD1D,RW11, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,2130,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,TUKD1D,RW11,TUKDO,OI,E,A,EEC , ,   ,CF, ,PAD,OI,D, ,      ,1817,0502,1830,0480, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,TUKD1E,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2850,    ,+,00650,     ,03000, ,   ,    ,   ,PAD,OI,D,B, , , , ;
SID:020,2,TUKD1E,RW29, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,1430,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,TUKD1E,RW29,TUKDO,OI,E,A,EEC , ,   ,CF, ,PAD,OI,D, ,      ,1817,0502,1880,0420,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,TUKD1F,RW11, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1050,    ,+,00650,     ,03000, ,   ,    ,   ,PAD,OI,D,B, , , , ;
SID:020,2,TUKD1F,RW11, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1430,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,TUKD1F,RW11,TUKDO,OI,E,A,EEC , ,   ,CF, ,PAD,OI,D, ,      ,1817,0502,1880,0480,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,TUKD1C,ALL,TUKDO,OI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,PAD,OI,D,B, , , , ;
STAR:020,2,TUKD1C,ALL,D183T,OI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,TUKD1C,ALL,D183L,OI,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,D29,D183L,D183L,OI,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,05000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D29,D183L, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0030,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D29,D183L,CD29,OI,P,C,EE B,L,   ,AF, ,PAD,OI,D, ,      ,1110,0100,1830,    ,+,02300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D29, ,CD29,OI,P,C,E  I, ,   ,IF, ,PAD,OI,D, ,      ,1110,0100,    ,    ,+,02300,     ,05000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D29, ,FD29,OI,P,C,E  F, ,   ,CF, ,PAD,OI,D, ,      ,1110,0050,2910,0050,+,01400,     ,     , ,   ,    ,   ,PAD,OI,D, , ,0, ,S;
APPCH:030,D,D29, ,MD29,OI,P,C,EY M, ,   ,CF, ,PAD,OI,D, ,      ,1110,0015,2910,0035, ,00671,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D29, ,D183L,OI,P,C,E M ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D29, ,D183L,OI,P,C,EE H,L,   ,HM, , , , , ,      ,    ,    ,0030,T010,+,04000,     ,     ,-,220,    ,   , , , , , ,0, ,S;
RWY:RW11 ,     ,      ,00249, ,    , ,   ;N39362788,E047520302,0000;
RWY:RW29 ,+0010,      ,00249, ,    , ,   ;N39355823,E047534439,0000;
