SID:010,5,BOMO2E,RW16C,DE16C,OE,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,13000, ,   ,    ,   ,OEJN,OE,P,A, , , , ;
SID:020,5,BOMO2E,RW16C,JN240,OE,P,C,EY  , ,   ,CF, ,JDW,OE,D, ,      ,1426,0088,1460,0050,+,01600,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,BOMO2E,RW16C,JN242,OE,P,C,E   , ,   ,CF, ,JDW,OE,D, ,      ,1362,0181,1300,0090,-,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BOMO2E,RW16C,ORPAR,OE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BOMO2E,RW16C,RIBIL,OE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BOMO2E,RW16C,JN397,OE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,BOMO2E,RW16C,BOMOX,OE,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BOMO2F,RW16R,JN251,OE,P,C,EY  , ,   ,CF, ,JDW,OE,D, ,      ,1557,0127,1560,0100,+,03200,     ,13000,-,210,    ,   ,OEJN,OE,P,A, , , , ;
SID:020,5,BOMO2F,RW16R,JN277,OE,P,C,E   , ,   ,CF, ,JDW,OE,D, ,      ,1674,0193,1900,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,5,BOMO2F,RW16R,JN252,OE,P,C,E   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BOMO2F,RW16R,JN322,OE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BOMO2F,RW16R,JN324,OE,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BOMO2F,RW16R,BOMOX,OE,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
