SID:010,4,CORRS1,RW16,YARRA,YM,E,A,E   , ,010,CF, ,ML,YM,D, ,      ,1610,0110,1600,0100,+,04000,     ,10000, ,   ,    ,   ,YMML,YM,P,A, , , , ;
SID:020,4,CORRS1,RW16,CORRS,YM,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CORRS1,RW27,LILPU,YM,P,C,E   , ,010,CF, ,AV,YM,D, ,      ,0144,0262,2630,0060,+,04000,     ,10000, ,   ,    ,   ,YMML,YM,P,A, , , , ;
SID:020,4,CORRS1,RW27,DARLY,YM,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,CORRS1,RW27,SULPO,YM,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,CORRS1,RW27,CORRS,YM,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CORRS1,RW34,ROKDL,YM,P,C,E   , ,010,CF, ,ML,YM,D, ,      ,3356,0042,3400,0040, ,     ,     ,10000, ,   ,    ,   ,YMML,YM,P,A, , , , ;
SID:020,4,CORRS1,RW34,POREM,YM,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,CORRS1,RW34,GEDEN,YM,P,C,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,CORRS1,RW34,CORRS,YM,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CRENA3,RW16,HORSH,YM,E,A,EY  , ,010,CF, ,ML,YM,D, ,      ,1634,0040,1600,0020, ,     ,     ,10000, ,   ,    ,   ,YMML,YM,P,A, , , , ;
SID:020,4,CRENA3,RW16,OLSUN,YM,P,C,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,CRENA3,RW16,VIDAR,YM,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,CRENA3,RW16,MARSH,YM,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,CRENA3,RW16,CRENA,YM,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CRENA3,RW27,LILPU,YM,P,C,E   , ,010,CF, ,AV,YM,D, ,      ,0144,0262,2630,0060, ,     ,     ,10000, ,   ,    ,   ,YMML,YM,P,A, , , , ;
SID:020,4,CRENA3,RW27,CRENA,YM,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CRENA3,RW34,ONUTO,YM,P,C,EY  , ,010,CF, ,ML,YM,D, ,      ,3237,0010,3400,0010, ,     ,     ,10000, ,   ,    ,   ,YMML,YM,P,A, , , , ;
SID:020,4,CRENA3,RW34, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,3400,    ,+,01500,     ,     , ,   ,    ,   , , , , , , , , ;
