APPCH:010,A,R13-Y,SEFUN,SEFUN,BG,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04300,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R13-Y,SEFUN,SSI13,BG,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R13-Y,SEFUN,SSF13,BG,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02100,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R13-Y,VEGOD,VEGOD,BG,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R13-Y,VEGOD,SSI13,BG,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R13-Y,VEGOD,SSF13,BG,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02100,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R13-Y, ,SSF13,BG,P,C,E  F, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02100,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R13-Y, ,SSM43,BG,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1320,0049, ,01261,     ,     ,-,130,-308,   , , , , , ,B,J,S;
APPCH:040,R,R13-Y, ,SEFUN,BG,P,C,E M ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,130,    ,   , , , , , ,B,J,S;
APPCH:050,R,R13-Y, ,SEFUN,BG,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,0410,T010, ,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R13-Z,OSGEK,OSGEK,BG,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R13-Z,OSGEK,SSI13,BG,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R13-Z,OSGEK,SSF13,BG,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R13-Z,SEFUN,SEFUN,BG,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04300,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R13-Z,SEFUN,SSI13,BG,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R13-Z,SEFUN,SSF13,BG,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R13-Z,VEGOD,VEGOD,BG,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R13-Z,VEGOD,SSI13,BG,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R13-Z,VEGOD,SSF13,BG,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R13-Z, ,SSF13,BG,P,C,E  F, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R13-Z, ,SSM13,BG,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1320,0050, ,01202,     ,     ,-,130,-301,   , , , , , ,B,J,S;
APPCH:040,R,R13-Z, ,SEFUN,BG,P,C,E M ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,130,    ,   , , , , , ,B,J,S;
APPCH:050,R,R13-Z, ,SEFUN,BG,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,0410,T010, ,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,RNVA,ETVAS,ETVAS,BG,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06400,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,ETVAS,SSI41,BG,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,FUPSI,FUPSI,BG,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,FUPSI,SSI41,BG,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVA,JOVAP,JOVAP,BG,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06400,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVA,JOVAP,5NM,BG,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,A,RNVA,JOVAP,SSI41,BG,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNVA, ,SSI41,BG,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNVA, ,SSF41,BG,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3310,0040,+,02200,     ,     , ,   ,    ,   , , , , , ,B,J,C;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,C;
APPCH:030,R,RNVA, ,SSM41,BG,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,3310,0050, ,00770,     ,     , ,   ,-350,   , , , , , ,B,J,C;
APPCH:040,R,RNVA, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3310,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNVA, ,SEFUN,BG,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNVA, ,SEFUN,BG,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,0410,T010, ,02800,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNVB,MOPZU,MOPZU,BG,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,09500,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNVB,MOPZU,SS402,BG,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,A,RNVB,MOPZU,SSI41,BG,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
