SID:010,5,ALTI1C,RW19,BS101,LT,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,12000,-,250,    ,   ,DAL,LT,D,B, , , , ;
SID:020,5,ALTI1C,RW19,BS102,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ALTI1C,RW19,EKVUR,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ALTI1C,RW19,ALTIN,LT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ALTI1E,RW19,D189J,LT,P,C,EY  , ,   ,CF, ,DAL,LT,D, ,      ,1890,0100,1890,0110,+,03000,     ,12000, ,   ,    ,   ,DAL,LT,D,B, , , , ;
SID:030,2,ALTI1E,RW19,DAL,LT,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ALTI1E,RW19,ALTIN,LT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,5,ALTI1J,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0100,    ,+,00420,     ,12000, ,   ,    ,   ,DAL,LT,D,B, , , , ;
SID:020,5,ALTI1J,RW01,BS401,LT,P,C,E   , ,   ,CF, ,DAL,LT,D, ,      ,0227,0105,0250,0070,+,03450,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ALTI1J,RW01,KORAT,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ALTI1J,RW01,GOVAN,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ALTI1J,RW01,BS403,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ALTI1J,RW01,BS404,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ALTI1J,RW01,ALTIN,LT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ALTI1M,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0100,    ,+,00420,     ,12000, ,   ,    ,   ,DAL,LT,D,B, , , , ;
SID:020,2,ALTI1M,RW01,DAL,LT,D,B,E   , ,   ,FD, ,DAL,LT,D, ,      ,0000,0000,0090,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ALTI1M,RW01,D349H,LT,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,204,    ,   , , , , , , , , ;
SID:040,2,ALTI1M,RW01,D349J,LT,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:050,2,ALTI1M,RW01,DAL,LT,D,B,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,ALTI1M,RW01,ALTIN,LT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:020,2,ALTI1N,RW19,D189J,LT,P,C,EY  , ,   ,CF, ,DAL,LT,D, ,      ,1890,0100,1890,0110,+,03200,     ,12000, ,   ,    ,   ,DAL,LT,D,B, , , , ;
SID:030,2,ALTI1N,RW19,DAL,LT,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ALTI1N,RW19,ALTIN,LT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,2,ALTI1R,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0100,    ,+,00420,     ,12000, ,   ,    ,   ,DAL,LT,D,B, , , , ;
SID:020,2,ALTI1R,RW01,DAL,LT,D, ,V   , ,   ,FD, ,DAL,LT,D, ,      ,0000,0000,0090,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
