SID:020,5,BIMB1E,RW07,TS506,GC,P,C,E   , ,   ,CF, ,TFS,GC,D, ,      ,0731,0135,0730,0070, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:030,5,BIMB1E,RW07,COSSE,GC,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BIMB1E,RW07,LUCSI,GC,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BIMB1E,RW07,KASAS,GC,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BIMB1E,RW07,BIMBO,GC,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BIMB1F,RW25,TFS,GC,D, ,V   , ,   ,CF, ,TFS,GC,D, ,      ,0000,0000,2520,0060, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,5,BIMB1F,RW25,TS951,GC,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,BIMB1F,RW25,TS952,GC,P,C,E   ,L,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BIMB1F,RW25,TS518,GC,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BIMB1F,RW25,COSSE,GC,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BIMB1F,RW25,LUCSI,GC,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,BIMB1F,RW25,KASAS,GC,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,BIMB1F,RW25,BIMBO,GC,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,COSE1E,RW07,TS506,GC,P,C,E   , ,   ,CF, ,TFS,GC,D, ,      ,0731,0135,0730,0070, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
