SID:030,5,HFE81D,RW27,XZ113,ZS,P,C,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,HFE81D,RW27,RUTIS,ZS,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL148,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,HFE81D,RW27,HFE,ZS,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,HFE91D,RW09, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0900,    ,+,00990,     ,     , ,   ,    ,   ,XUZ,ZS,D, , , , , ;
SID:020,5,HFE91D,RW09,ATVIM,ZS,E,A,E C ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05910,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,HFE91D,RW09,XZ113,ZS,P,C,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,HFE91D,RW09,XZ104,ZS,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL148,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,HFE91D,RW09,HFE,ZS,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,HFE92D,RW09, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0900,    ,+,00990,     ,     , ,   ,    ,   ,XUZ,ZS,D, , , , , ;
SID:020,5,HFE92D,RW09,XZ104,ZS,P,C,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,FL148,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,HFE92D,RW09,HFE,ZS,D, ,VE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
