SID:010,4,ROSIE5,RW03, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0280,    ,+,03100,     ,18000, ,   ,    ,   ,KNID,K2,P,A, , , , ;
SID:020,4,ROSIE5,RW03,ZUDID,K2,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,ROSIE5,RW03,OLRAE,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,ROSIE5,RW03,ROSIE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,ROSIE5,RW03,JARIS,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,ROSIE5,RW03,FIM,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ROSIE5,RW14, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1400,    ,+,03000,     ,18000, ,   ,    ,   ,KNID,K2,P,A, , , , ;
SID:020,4,ROSIE5,RW14,ZUDID,K2,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,ROSIE5,RW14,OLRAE,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,ROSIE5,RW14,ROSIE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,ROSIE5,RW14,JARIS,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
