SID:010,5,ABSE6A,RW35,LIN,LI,D, ,V   , ,   ,CF, ,LIN,LI,D, ,      ,0000,0000,3530,0010,+,00850,     ,06000, ,   ,    ,   ,LIN,LI,D, , , , , ;
SID:020,5,ABSE6A,RW35,ML461,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ABSE6A,RW35,ML462,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ABSE6A,RW35,ML463,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,180,    ,   , , , , , , , , ;
SID:050,5,ABSE6A,RW35,ML464,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,180,    ,   , , , , , , , , ;
SID:090,5,ABSE6A,RW35,ABSEM,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ABSE6A,LOG7A,ABSEM,LI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:015,6,ABSE6A,LOG7A,ML403,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,6,ABSE6A,LOG7A,TUVIB,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ABSE6A,LOG7A,LOGDI,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL115,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ABSE6A,OSK6D,ABSEM,LI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,6,ABSE6A,OSK6D,ML403,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ABSE6A,OSK6D,TUVIB,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,ABSE6A,OSK6D,ELBOD,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL085,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,ABSE6A,OSK6D,VAKON,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL105,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,ABSE6A,OSK6D,OSKOR,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL125,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABSE6J,RW35, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3530,    ,+,00760,     ,06000,-,210,    ,   ,LIML,LI,P,A, , , , ;
SID:020,5,ABSE6J,RW35,ML507,LI,P,C,EY  , ,   ,CF, ,BRL,LI,D, ,      ,2359,0215,3530,0010,+,01150,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,ABSE6J,RW35,ABSEM,LI,E,A,EE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,     ,-,210,    ,   , , , , , , , , ;
SID:010,6,ABSE6J,LOG7A,ABSEM,LI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,06000,-,210,    ,   , , , , , , , , ;
SID:015,6,ABSE6J,LOG7A,ML403,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,6,ABSE6J,LOG7A,TUVIB,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ABSE6J,LOG7A,LOGDI,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL115,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ABSE6J,OSK6D,ABSEM,LI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,06000,-,210,    ,   , , , , , , , , ;
SID:020,6,ABSE6J,OSK6D,ML403,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ABSE6J,OSK6D,TUVIB,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,ABSE6J,OSK6D,ELBOD,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL085,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,ABSE6J,OSK6D,VAKON,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL105,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,ABSE6J,OSK6D,OSKOR,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL125,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LIMB6X,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1730,    ,+,00740,     ,06000,-,210,    ,   ,LIML,LI,P,A, , , , ;
SID:020,5,LIMB6X,RW17,ML609,LI,P,C,E   , ,   ,CF, ,BRL,LI,D, ,      ,2197,0263,1730,0050,+,02600,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,LIMB6X,RW17,ML614,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,LIMB6X,RW17,LIMBA,LI,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,LIMB6X,EKP6C,LIMBA,LI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,6,LIMB6X,EKP6C,APRIV,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,LIMB6X,EKP6C,EKPAL,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL195,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LIMB7C,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1730,    ,+,00760,     ,06000, ,   ,    ,   ,LIN,LI,D, , , , , ;
SID:020,2,LIMB7C,RW17,D173G,LI,P,C,E   , ,   ,CF, ,LIN,LI,D, ,      ,1726,0070,1730,0060,+,02600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LIMB7C,RW17,D173T,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LIMB7C,RW17,LIMBA,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,LIMB7C,EKP6C,LIMBA,LI,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,3,LIMB7C,EKP6C,APRIV,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,LIMB7C,EKP6C,EKPAL,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL195,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MMP7C,RW17,RW17,LI,P,G,G   , ,   ,FD, ,LIN,LI,D, ,      ,1723,0003,1730,0040,+,00760,     ,06000, ,   ,    ,   ,LIN,LI,D, , , , , ;
SID:020,2,MMP7C,RW17, , , , ,    , ,   ,CR, ,LIN,LI,D, ,      ,2120,    ,2430,    ,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MMP7C,RW17,D135R,LI,P,C,E   , ,   ,CF, ,BRL,LI,D, ,      ,2402,0328,3150,0070,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,MMP7C,RW17,MMP,LI,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,MMP7C,ARL9C,MMP,LI,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:030,3,MMP7C,ARL9C,IXORA,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,MMP7C,ARL9C,ARLES,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,MMP7C,OME9C,MMP,LI,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,3,MMP7C,OME9C,D283K,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,MMP7C,OME9C,BAVMI,LI,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,MMP7C,OME9C,OMETO,LI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MMP7X,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1730,    ,+,00740,     ,06000,-,210,    ,   ,LIML,LI,P,A, , , , ;
SID:020,5,MMP7X,RW17,ML609,LI,P,C,E   , ,   ,CF, ,BRL,LI,D, ,      ,2197,0263,1730,0050,+,02600,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,MMP7X,RW17,ML613,LI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,250,    ,   , , , , , , , , ;
