SID:010,2,BURP1E,RW27,DER27,SK,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,BUN,SK,D, , , , , ;
SID:015,2,BURP1E,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2710,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BURP1E,RW27, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1920,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BURP1E,RW27,BURPA,SK,E,A,EEC , ,   ,CF, ,BUN,SK,D, ,      ,2219,0454,2220,0400,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KABO1A,RW27,DER27,SK,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,BUN,SK,D, , , , , ;
SID:015,2,KABO1A,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2710,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,KABO1A,RW27,BUN,SK,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KABO1A,RW27,D077R,SK,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KABO1A,RW27,KABOS,SK,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,14000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KUBI1A,RW27,DER27,SK,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,BUN,SK,D, , , , , ;
SID:020,2,KUBI1A,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2710,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KUBI1A,RW27, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,3230,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KUBI1A,RW27,KUBIV,SK,E,A,EEC , ,   ,CF, ,BUN,SK,D, ,      ,2926,0109,2930,0090,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,RENA1A,RW27,DER27,SK,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,BUN,SK,D, , , , , ;
SID:020,2,RENA1A,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2710,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,RENA1A,RW27,BUN,SK,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,RENA1A,RW27,RENAV,SK,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,VUSR1C,RW27,DER27,SK,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   ,BUN,SK,D, , , , , ;
SID:020,2,VUSR1C,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2710,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,VUSR1C,RW27,BUN,SK,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,VUSR1C,RW27,D132J,SK,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,VUSR1C,RW27,VUSRU,SK,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,KABO1B,RW09,KABOS,SK,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,14000,     ,19000, ,   ,    ,   ,BUN,SK,D, , , , , ;
STAR:020,2,KABO1B,RW09,D077Q,SK,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,KABO1B,RW09,D077J,SK,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,KABO1B,RW09,D077E,SK,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,2,KABO1B,RW09,BUN,SK,D, ,VE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,VUSR1D,RW09,VUSRU,SK,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,19000, ,   ,    ,   ,BUN,SK,D, , , , , ;
STAR:020,2,VUSR1D,RW09,D132M,SK,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
