SID:010,2,LATR1A,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0850,    ,+,02500,     ,10000, ,   ,    ,   ,ZSN,UA,D,B, , , , ;
SID:020,2,LATR1A,RW09, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2840,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LATR1A,RW09,LATRI,UA,E,A,EEC , ,   ,CF, ,UKM,UA,D, ,      ,1415,1527,3240,0220,B,FL140,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LATR1B,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2650,    ,+,02500,     ,10000, ,   ,    ,   ,ZSN,UA,D,B, , , , ;
SID:020,2,LATR1B,RW27, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,0040,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LATR1B,RW27,LATRI,UA,E,A,EEC , ,   ,CF, ,UKM,UA,D, ,      ,1415,1527,3240,0230,B,FL140,FL120,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,LATR1C,RW09,LATRI,UA,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL140,FL120,     , ,   ,    ,   ,ZSN,UA,D,B, , , , ;
STAR:020,2,LATR1C,RW09,ZSN,UA,D,B,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,N09,ZSN,ZSN,UA,D,B,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,140,    ,   , , , , , ,0, ,S;
APPCH:020,A,N09,ZSN,ZSN,UA,D,B,EY  , ,   ,FC, ,ZSN,UA,D,B,      ,0000,0000,2790,0086,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N09,ZSN,FF09,UA,P,C,EE  ,L,   ,CF,Y,ZSN,UA,D,B,      ,2690,0084,0890,0010,+,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N09, ,FF09,UA,P,C,E  F, ,   ,IF, ,ZSN,UA,D,B,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   ,ZSN,UA,D,B, ,0, ,S;
APPCH:030,N,N09, ,RW09,UA,P,G,G  M, ,   ,CF, ,ZSN,UA,D,B,      ,    ,    ,0890,0081, ,01933,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N09, ,ZSN,UA,D,B,EYM , ,   ,CF, ,ZSN,UA,D,B,      ,0000,0000,0890,0004, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N09, ,ZSN,UA,D,B,EY  , ,   ,FC, ,ZSN,UA,D,B,      ,0000,0000,0890,0055,+,03500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N09, ,ZSN,UA,D,B,EE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04500,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW09 ,-1100,      ,01893, ,    , ,   ;N47291496,E084523996,0000;
RWY:RW27 ,+1100,      ,01855, ,    , ,   ;N47291497,E084535178,0000;
