APPCH:010,A,I13-Y,DHIBA,DHIBA,DA,E,A,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03220,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I13-Y,DHIBA,CF13,DA,P,C,EE B, ,   ,CF, ,EO,DA,P,I,      ,3079,0103,1290,0046,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I13-Y, ,CF13,DA,P,C,E  I, ,   ,IF, ,EO,DA,P,I,      ,3079,0103,    ,    ,J,02000,02000,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I13-Y, ,FF13,DA,P,C,E  F, ,   ,CF, ,EO,DA,P,I,      ,3079,0073,1280,0030,H,02000,02000,     , ,   ,-300,   ,ELO,DA,D, ,A,0,D,S;
APPCH:030,I,I13-Y, ,RW13,DA,P,G,G  M, ,   ,CF, ,EO,DA,P,I,      ,3079,0018,1280,0055, ,00243,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I13-Y, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1280,    ,+,00610,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I13-Y, ,ELO,DA,D, ,VE  , ,   ,FM, ,ELO,DA,D, ,      ,0000,0000,1280,    , ,03220,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I13-Z,ELO1,ELO,DA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03220,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I13-Z,ELO1,D308E,DA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I13-Z,ELO1,D308E,DA,P,C,EY  , ,   ,FC, ,ELO,DA,D, ,      ,3080,0050,2650,0044, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I13-Z,ELO1,CF13,DA,P,C,EE B,R,   ,CF,Y,EO,DA,P,I,      ,3079,0103,0850,0020,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I13-Z,ELO2,ELO,DA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03220,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I13-Z,ELO2,D308H,DA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I13-Z,ELO2,D308H,DA,P,C,EY  , ,   ,FC, ,ELO,DA,D, ,      ,3080,0075,2650,0030, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I13-Z,ELO2,CF13,DA,P,C,EE B,R,   ,CF,Y,EO,DA,P,I,      ,3079,0103,0850,0020,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I13-Z, ,CF13,DA,P,C,E  I, ,   ,IF, ,EO,DA,P,I,      ,3079,0103,    ,    ,J,02000,02000,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I13-Z, ,FF13,DA,P,C,E  F, ,   ,CF, ,EO,DA,P,I,      ,3079,0073,1280,0030,H,02000,02000,     , ,   ,-300,   ,ELO,DA,D, ,A,0,D,S;
APPCH:030,I,I13-Z, ,RW13,DA,P,G,G  M, ,   ,CF, ,EO,DA,P,I,      ,3079,0018,1280,0055, ,00243,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I13-Z, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1280,    ,+,00610,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I13-Z, ,ELO,DA,D, ,VE  , ,   ,FM, ,ELO,DA,D, ,      ,0000,0000,1280,    , ,03220,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,S13,ELO1,ELO,DA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02270,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S13,ELO1,ELO,DA,D, ,VY  , ,   ,FC, ,ELO,DA,D, ,      ,0000,0000,2910,0088,+,01680,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S13,ELO1,FS13,DA,P,C,EE  ,R,   ,CF,Y,ELO,DA,D, ,      ,3110,0059,1310,0030,+,01680,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S13,ELO2,ELO,DA,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02270,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,S13,ELO2,ELO,DA,D, ,VY  , ,   ,FC, ,ELO,DA,D, ,      ,0000,0000,2990,0070,+,01680,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S13,ELO2,FS13,DA,P,C,EE  ,R,   ,CF,Y,ELO,DA,D, ,      ,3110,0059,1310,0020,+,01680,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S13, ,FS13,DA,P,C,E  F, ,   ,IF, ,ELO,DA,D, ,      ,3110,0059,    ,    ,+,01680,     ,     , ,   ,    ,   ,ELO,DA,D, ,B,0, ,S;
APPCH:030,S,S13, ,RW13,DA,P,G,G  M, ,   ,CF, ,ELO,DA,D, ,      ,3152,0014,1310,0045, ,00243,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S13, ,ELO,DA,D, ,VYM , ,   ,CF, ,ELO,DA,D, ,      ,0000,0000,1310,0014, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
