SID:050,1,HOKT5E,RW21B,HUC27,RJ,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,1,HOKT5E,RW21B,HOKTA,RJ,P,C,EE  ,L,   ,AF, ,HUC,RJ,D, ,      ,0699,0270,0910,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,HOKT5E,GOT,HOKTA,RJ,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:030,3,HOKT5E,GOT,DAPPE,RJ,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,HOKT5E,GOT,GOT,RJ,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,HOKT5E,MXT,HOKTA,RJ,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:015,3,HOKT5E,MXT,DAPPE,RJ,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,3,HOKT5E,MXT,03MXT,RJ,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,HOKT5E,MXT,MXT,RJ,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,HOKTA5,RW03B, , , , ,    , ,   ,CD, ,HUC,RJ,D, ,      ,    ,    ,0270,0014, ,     ,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,HOKTA5,RW03B, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1010,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,HOKTA5,RW03B,D071S,RJ,P,C,E   , ,   ,CF, ,HUC,RJ,D, ,      ,0699,0193,0710,0140,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,HOKTA5,RW03B,HOKTA,RJ,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,HOKTA5,RW21B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2070,    ,+,00610,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,HOKTA5,RW21B, , , , ,    ,L,   ,CR,Y,HUC,RJ,D, ,      ,1300,    ,0410,    ,-,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,HOKTA5,RW21B, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0410,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,HOKTA5,RW21B,D071S,RJ,P,C,E   , ,   ,CF, ,HUC,RJ,D, ,      ,0699,0193,0710,0120,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,HOKTA5,RW21B,HOKTA,RJ,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,HOKTA5,GOT,HOKTA,RJ,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:030,3,HOKTA5,GOT,DAPPE,RJ,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,HOKTA5,GOT,GOT,RJ,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,HOKTA5,MXT,HOKTA,RJ,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:015,3,HOKTA5,MXT,DAPPE,RJ,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,3,HOKTA5,MXT,03MXT,RJ,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,HOKTA5,MXT,MXT,RJ,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,NAKAH4,RW03B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0270,    ,+,00610,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,NAKAH4,RW03B, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,3310,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,NAKAH4,RW03B,HUC06,RJ,P,C,E   , ,   ,CF, ,HUC,RJ,D, ,      ,0010,0060,0010,0050,-,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,NAKAH4,RW03B,NAKAH,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,NAKAH4,RW21B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2070,    ,+,00610,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,NAKAH4,RW21B, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,2070,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,NAKAH4,RW21B,HUC06,RJ,P,C,E   , ,   ,CF, ,HUC,RJ,D, ,      ,0010,0060,0010,0060,-,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,NAKAH4,RW21B,NAKAH,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,OGITU3,RW03B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0270,    ,+,00600,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,OGITU3,RW03B,D033F,RJ,P,C,E   , ,   ,CF, ,HUC,RJ,D, ,      ,0327,0055,0330,0050,-,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,OGITU3,RW03B,OGITU,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,OGITU3,RW21B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2070,    ,+,00600,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,1,OGITU3,RW21B, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0630,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,OGITU3,RW21B,D033F,RJ,P,C,E   , ,   ,CF, ,HUC,RJ,D, ,      ,0327,0055,0330,0020,-,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,OGITU3,RW21B,OGITU,RJ,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,OGITU3,IXE,OGITU,RJ,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,14000, ,   ,    ,   , , , , , , , , ;
SID:020,3,OGITU3,IXE,IXE,RJ,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
