RWY:RW13 ,     ,      ,00015,D,KL  ,I,   ;N22191835,E114114721,1829;
RWY:RW31 ,     ,      ,00015,D,IHK ,1,   ;N22181893,E114125351,1623;
SID:010,1,BEK1A,RW13,TH,VH,D, ,V   , ,   ,IF, ,TH,VH,D, ,      ,0000,0000,1347,0055, ,     ,     ,09000, ,   ,    ,   , , , , , , , , ;
SID:020,1,BEK1A,RW13,LIMA,VH,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,BEK1A,RW13,JULIT,VH,P,C,E   ,L,   ,RF, , , , , ,006395,    ,    ,    ,0180, ,07000,     ,     , ,   ,    ,   ,RVH01,VH,P,C, , , , ;
SID:040,1,BEK1A,RW13,BEKOL,ZG,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,11800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,BEK2C,RW31,RW,VH,D,B,N   , ,   ,IF, ,RW,VH,D,B,      ,0000,0000,3161,0001, ,     ,     ,09000,-,210,    ,   , , , , , , , , ;
SID:020,1,BEK2C,RW31,R288,VH,P,C,E   ,L,   ,RF, , , , , ,001381,    ,    ,    ,0016, ,     ,     ,     ,-,210,    ,   ,RVH02,VH,P,C, , , , ;
SID:030,1,BEK2C,RW31,SC,VH,D,B,N   , ,   ,TF, ,SC,VH,D,B,      ,0000,0000,2513,0019, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,BEK2C,RW31, , , , ,    ,L,   ,CR, ,CH,VH,D, ,      ,0310,    ,2510,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,BEK2C,RW31,CH,VH,D, ,V   , ,   ,CF, ,CH,VH,D, ,      ,2110,0000,2110,0056,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,1,BEK2C,RW31,CH,VH,D, ,V   , ,   ,FA, ,CH,VH,D, ,      ,0000,0000,1540,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,1,BEK2C,RW31,TH,VH,D, ,V   ,L,   ,DF, ,TH,VH,D, ,      ,0000,0000,    ,    , ,11000,     ,     , ,   ,    ,   , , , , , , , , ;
