APPCH:010,A,R09,YEVUD,YEVUD,K5,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0900,0040,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R09, ,YEVUD,K5,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R09, ,ZABVU,K5,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,0900,0060,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,        LP, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R09, ,RW09,K5,P,G,GY M, ,   ,TF, , , , , ,      ,    ,    ,0900,0051, ,00871,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R09, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0900,    ,+,01241,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R09, ,CUTTY,K5,E,A,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R09, ,CUTTY,K5,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,1830,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW09 ,     ,      ,00831, ,    , ,   ;N42463102,W084440946,0000;
RWY:RW18 ,     ,      ,00830, ,    , ,   ;N42463505,W084441327,0388;
RWY:RW27 ,     ,      ,00840, ,    , ,   ;N42463346,W084432668,0000;
RWY:RW36 ,     ,      ,00835, ,    , ,   ;N42461742,W084441337,0387;
