SID:010,5,AMLU2C,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0460,    ,+,00500,     ,05000,-,210,    ,   ,EDDH,ED,P,A, , , , ;
SID:020,5,AMLU2C,RW05,DH152,ED,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,AMLU2C,RW05,AMLUH,ED,E,A,EE  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AMLU2D,RW15, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1490,    ,+,00500,     ,05000,-,210,    ,   ,EDDH,ED,P,A, , , , ;
SID:020,5,AMLU2D,RW15,DH208,ED,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02300,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,AMLU2D,RW15,DH222,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,AMLU2D,RW15,AMLUH,ED,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AMLU2G,RW33, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3290,    ,+,00500,     ,05000,-,210,    ,   ,EDDH,ED,P,A, , , , ;
SID:020,5,AMLU2G,RW33,DH250,ED,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,00670,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,AMLU2G,RW33,DH251,ED,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,AMLU2G,RW33,DH252,ED,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,5,AMLU2G,RW33,DH262,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,AMLU2G,RW33,HAM,ED,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,AMLU2G,RW33,AMLUH,ED,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AMLU3B,RW23, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2260,    ,+,00500,     ,05000,-,210,    ,   ,EDDH,ED,P,A, , , , ;
SID:020,5,AMLU3B,RW23,DH111,ED,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,AMLU3B,RW23,DH108,ED,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,AMLU3B,RW23,DH109,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,AMLU3B,RW23,DH115,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,AMLU3B,RW23,AMLUH,ED,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EDDH1B,RW23, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2260,    ,+,03500,     ,05000, ,   ,    ,   ,EDDH,ED,P,A, , , , ;
SID:020,2,EDDH1B,RW23, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2260,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EDDH1C,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0460,    ,+,03500,     ,05000, ,   ,    ,   ,EDDH,ED,P,A, , , , ;
SID:020,2,EDDH1C,RW05, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,0460,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EDDH1D,RW15, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1490,    ,+,03500,     ,05000, ,   ,    ,   ,EDDH,ED,P,A, , , , ;
SID:020,2,EDDH1D,RW15, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1490,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EDDH1G,RW33, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3290,    ,+,03500,     ,05000, ,   ,    ,   ,EDDH,ED,P,A, , , , ;
SID:020,2,EDDH1G,RW33, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3290,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
