SID:010,2,BAVE2H,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0070,    ,+,00710,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,BAVE2H,RW01,D009G,LE,P,C,E   , ,   ,CF, ,MHN,LE,D, ,      ,0080,0070,0090,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAVE2H,RW01, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0090,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BAVE2H,RW01,D042I,LE,P,C,E   ,R,   ,AF, ,MHN,LE,D, ,      ,0420,0090,0080,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BAVE2H,RW01,MHN,LE,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,BAVE2H,RW01,NEVIC,LE,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,BAVE2H,RW01,MJV,LE,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:075,2,BAVE2H,RW01,IZA,LE,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,BAVE2H,RW01,BAVER,LE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAVE3C,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0070,    ,+,00710,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,BAVE3C,RW01,D009G,LE,P,C,E   , ,   ,CF, ,MHN,LE,D, ,      ,0080,0070,0090,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAVE3C,RW01, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0090,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BAVE3C,RW01,D244I,LE,P,C,E   ,L,   ,AF, ,MHN,LE,D, ,      ,2440,0090,0090,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BAVE3C,RW01,NEVIC,LE,E,A,E C , ,   ,CF, ,MHN,LE,D, ,      ,2270,0484,2280,0390, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,BAVE3C,RW01,MJV,LE,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:065,2,BAVE3C,RW01,IZA,LE,D,B,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
