RWY:RW11L,-0299,      ,00383, ,    , ,   ;N35093500,E033291500,0000;
RWY:RW11R,-0589,      ,00383, ,    , ,   ;N35091613,E033295121,0000;
RWY:RW29L,+0589,      ,00325, ,IEKT, ,   ;N35083999,E033314125,0000;
RWY:RW29R,+0299,      ,00356, ,IECR, ,   ;N35090200,E033305600,0000;
SID:040,1,GIRN2E,RW29L,GIRNE,LC,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,U,S;
SID:010,1,GIRN2F,RW11R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1117,    ,+,00802,     ,06000, ,   ,    ,   , , , , , ,B,U,S;
SID:020,1,GIRN2F,RW11R,D090T,LC,P,C,E   , ,   ,CF, ,ECN,LC,D, ,      ,0905,0200,0890,0180, ,     ,     ,     , ,   ,    ,   , , , , , ,B,U,S;
SID:030,1,GIRN2F,RW11R,D345T,LC,P,C,E   ,L,   ,AF, ,ECN,LC,D, ,      ,3455,0201,0890,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,U,S;
SID:040,1,GIRN2F,RW11R,GIRNE,LC,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,U,S;
STAR:010,2,GIRN1K,ALL,GIRNE,LC,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,06000, ,   ,    ,   , , , , , ,U,D,G;
STAR:020,2,GIRN1K,ALL,D345L,LC,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,U,D,G;
STAR:030,2,GIRN1K,ALL,D345E,LC,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,U,D,G;
STAR:040,2,GIRN1K,ALL,ECN,LC,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     , ,   ,    ,   , , , , , ,U,D,G;
STAR:010,2,GKE1L,ALL,GKE,LC,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,06000, ,   ,    ,   , , , , , ,U,D,G;
STAR:020,2,GKE1L,ALL,ECN,LC,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,U,D,G;
STAR:010,3,GIRN2C,RW29R,GIRNE,LC,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,06000, ,   ,    ,   , , , , , ,B,G,D;
STAR:020,3,GIRN2C,RW29R,EN205,LC,P,C,E  A, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,G,D;
STAR:030,3,GIRN2C,RW29R,EN204,LC,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,G,D;
STAR:040,3,GIRN2C,RW29R,EN203,LC,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04490,     ,     , ,   ,    ,   , , , , , ,B,G,D;
STAR:050,3,GIRN2C,RW29R,EN202,LC,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,B,G,D;
STAR:060,3,GIRN2C,RW29R,EN200,LC,P,C,EE I, ,010,TF, , , , , ,      ,    ,    ,    ,    , ,02500,     ,     , ,   ,    ,   , , , , , ,B,G,D;
STAR:010,3,GIRN2G,RW29L,GIRNE,LC,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,06000, ,   ,    ,   , , , , , ,B,G,D;
STAR:020,3,GIRN2G,RW29L,EN205,LC,P,C,E  A, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,G,D;
STAR:030,3,GIRN2G,RW29L,EN204,LC,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,G,D;
STAR:040,3,GIRN2G,RW29L,EN203,LC,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04490,     ,     , ,   ,    ,   , , , , , ,B,G,D;
STAR:050,3,GIRN2G,RW29L,EN202,LC,P,C,E  I, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,B,G,D;
STAR:060,3,GIRN2G,RW29L,EN201,LC,P,C,EE F, ,010,TF, , , , , ,      ,    ,    ,    ,    , ,01980,     ,     , ,   ,    ,   , , , , , ,B,G,D;
APPCH:010,A,D29L1,R089,ECN,LC,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,06000, ,   ,    ,   , , , , , ,U,T,S;
APPCH:020,A,D29L1,R089,ECN,LC,D, ,VY  , ,   ,FC, ,ECN,LC,D, ,      ,0000,0000,0890,0085,+,01980,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:030,A,D29L1,R089,DME08,LC,P,C,EE  ,R,   ,CF,Y,ECN,LC,D, ,      ,1080,0080,2880,0130, ,01980,     ,     ,-,185,    ,   , , , , , ,U,T,S;
APPCH:010,A,D29L1,R097,ECN,LC,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,06000, ,   ,    ,   , , , , , ,U,T,S;
APPCH:020,A,D29L1,R097,ECN,LC,D, ,VY  , ,   ,FC, ,ECN,LC,D, ,      ,0000,0000,0970,0085,+,01980,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:030,A,D29L1,R097,DME08,LC,P,C,EE  ,R,   ,CF,Y,ECN,LC,D, ,      ,1080,0080,2880,0130, ,01980,     ,     ,-,185,    ,   , , , , , ,U,T,S;
APPCH:010,D,D29L1, ,DME08,LC,P,C,E  I, ,   ,IF, ,ECN,LC,D, ,      ,    ,    ,    ,    , ,01900,     ,06000, ,   ,    ,   , , , , , ,U,T,S;
APPCH:020,D,D29L1, ,DME07,LC,P,C,E  F, ,   ,TF, ,ECN,LC,D, ,      ,    ,    ,    ,    , ,01900,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:030,D,D29L1, ,33DME,LC,P,C,EY M, ,   ,TF, ,ECN,LC,D, ,      ,    ,    ,    ,    , ,00830,     ,     , ,   ,-300,   , , , , , ,U,T,S;
APPCH:040,D,D29L1, ,ECN,LC,D, ,VYM , ,   ,CF, ,ECN,LC,D, ,      ,0000,0000,2870,0026, ,00830,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:050,D,D29L1, , , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1070,    , ,     ,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:060,D,D29L1, ,GKE,LC,D, ,V   , ,   ,CF, ,GKE,LC,D, ,      ,0000,0000,0660,0130,+,05000,     ,     ,-,185,    ,   , , , , , ,U,T,S;
APPCH:070,D,D29L1, ,GKE,LC,D, ,VE  ,L,   ,HM, ,GKE,LC,D, ,      ,    ,    ,2700,T010, ,05000,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:010,A,D29R1,R085,ECN,LC,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,06000, ,   ,    ,   , , , , , ,U,T,S;
APPCH:020,A,D29R1,R085,ECN,LC,D, ,VY  , ,   ,FC, ,ECN,LC,D, ,      ,0000,0000,0850,0100,+,01900,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:030,A,D29R1,R085,DME07,LC,P,C,EE  ,R,   ,CF,Y,ECN,LC,D, ,      ,1065,0070,2870,0200,+,01900,     ,     ,-,185,    ,   , , , , , ,U,T,S;
APPCH:010,A,D29R1,R094,ECN,LC,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,06000, ,   ,    ,   , , , , , ,U,T,S;
APPCH:020,A,D29R1,R094,D094G,LC,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:030,A,D29R1,R094,D098H,LC,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:040,A,D29R1,R094,DME07,LC,P,C,EE  ,R,   ,CF,Y,ECN,LC,D, ,      ,1065,0070,2870,0150,+,01900,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:010,D,D29R1, ,DME07,LC,P,C,E  I, ,   ,IF, ,ECN,LC,D, ,      ,    ,    ,    ,    , ,01900,     ,06000, ,   ,    ,   , , , , , ,U,T,S;
APPCH:020,D,D29R1, ,DME06,LC,P,C,E  F, ,   ,TF, ,ECN,LC,D, ,      ,    ,    ,    ,    , ,01900,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:030,D,D29R1, ,26DME,LC,P,C,EY M, ,   ,TF, ,ECN,LC,D, ,      ,    ,    ,    ,    , ,00830,     ,     , ,   ,-300,   , , , , , ,U,T,S;
APPCH:040,D,D29R1, ,ECN,LC,D, ,VYM , ,   ,CF, ,ECN,LC,D, ,      ,0000,0000,2870,0026, ,00830,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:050,D,D29R1, , , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1070,    , ,     ,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:060,D,D29R1, ,GKE,LC,D, ,V   , ,   ,CF, ,GKE,LC,D, ,      ,0000,0000,0660,0130,+,05000,     ,     ,-,185,    ,   , , , , , ,U,T,S;
APPCH:070,D,D29R1, ,GKE,LC,D, ,VE  ,L,   ,HM, ,GKE,LC,D, ,      ,    ,    ,2700,T010, ,05000,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:010,A,D29R2,R345,D345L,LC,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,06000, ,   ,    ,   , , , , , ,U,T,S;
APPCH:020,A,D29R2,R345,D345J,LC,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:030,A,D29R2,R345,D040J,LC,P,C,E   ,R,   ,AF, ,ECN,LC,D, ,      ,0400,0100,3450,    , ,06000,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:040,A,D29R2,R345,D085J,LC,P,C,E   ,R,   ,AF, ,ECN,LC,D, ,      ,0851,0100,0400,    , ,03500,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:050,A,D29R2,R345,D107J,LC,P,C,E   ,R,   ,AF, ,ECN,LC,D, ,      ,1072,0100,0850,    , ,03000,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:060,A,D29R2,R345,DME08,LC,P,C,EE  , ,   ,CF, ,ECN,LC,D, ,      ,1066,0080,2870,0020, ,03000,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:010,D,D29R2, ,DME08,LC,P,C,E  I, ,   ,IF, ,ECN,LC,D, ,      ,1066,0080,    ,    , ,03000,     ,06000, ,   ,    ,   , , , , , ,U,T,S;
APPCH:020,D,D29R2, ,DME05,LC,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,01800,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:030,D,D29R2, ,26DME,LC,P,C,EY M, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,00830,     ,     , ,   ,-377,   , , , , , ,U,T,S;
APPCH:040,D,D29R2, ,ECN,LC,D, ,VYM , ,   ,CF, ,ECN,LC,D, ,      ,0000,0000,2870,0026, ,00830,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:050,D,D29R2, , , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1070,    , ,     ,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:060,D,D29R2, ,GKE,LC,D, ,V   , ,   ,CF, ,GKE,LC,D, ,      ,0000,0000,0660,0130,+,05000,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:070,D,D29R2, ,GKE,LC,D, ,VE  ,L,   ,HM, ,GKE,LC,D, ,      ,0000,0000,2700,T010,+,05000,     ,     , ,   ,    ,   , , , , , ,U,T,S;
APPCH:010,A,D29R3,R066,GKE,LC,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,06000, ,   ,    ,   , , , , , ,U,T,S;
APPCH:020,A,D29R3,R066,D066J,LC,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03500,     ,     , ,   ,    ,   , , , , , ,U,T,S;
