STAR:010,4,WIKTA1,P3,P3,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL245,     ,20000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,WIKTA1,P3,WIKTA,A1,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,WIKTA1,P6,P6,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL245,     ,20000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,WIKTA1,P6,WIKTA,A1,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,WIKTA1,ALL,WIKTA,A1,E,A,EE  , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,20000, ,   ,    ,   , , , , , , , , ;
APPCH:010,A,R02T,P3,P3,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL245,     ,20000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R02T,P3,WIKTA,A1,E,A,E  C, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R02T,P3,MINKE,S1,E,A,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11700,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R02T,P6,P6,A1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL245,     ,20000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R02T,P6,WIKTA,A1,E,A,E  C, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R02T,P6,MINKE,S1,E,A,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11700,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R02T,WIKTA,WIKTA,A1,E,A,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,20000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R02T,WIKTA,MINKE,S1,E,A,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,11700,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R02T, ,MINKE,S1,E,A,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,11700,     ,20000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R02T, ,ZADMO,A1,E,A,E  F, ,010,TF, , , , , ,      ,    ,    ,180T,0034,+,10900,     ,     , ,   ,    ,   ,WUDBO,A1,E,A, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R02T, ,WUDBO,A1,E,A,EY M, ,302,TF, , , , , ,      ,    ,    ,180T,0044, ,09493,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R02T, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,180T,    ,+,09800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R02T, ,WIKTA,A1,E,A,EY  ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R02T, ,WIKTA,A1,E,A,EE H,R,020,HM, , , , , ,      ,    ,    ,172T,0040,-,15000,     ,     ,-,230,    ,   , , , , , ,B,J,S;
RWY:RW02T,-0040,      ,09294, ,    , ,   ;S89575738,W150033335,0000;
RWY:RW20T,+0040,      ,09289, ,    , ,   ;S89594192,W077040942,0000;
