SID:010,2,BQ2A,RW17, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1680,    ,+,03800,     ,09000, ,   ,    ,   ,DBN,VV,D, , , , , ;
SID:020,2,BQ2A,RW17,DBN,VV,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,195,    ,   , , , , , , , , ;
SID:030,2,BQ2A,RW17,BEKLI,VV,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL110,FL100,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BQ2A,RW17,BQ,VV,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BQ2B,RW17, , , , ,    , ,   ,CD, ,DBN,VV,D, ,      ,    ,    ,1680,0135, ,     ,     ,09000, ,   ,    ,   ,DBN,VV,D, , , , , ;
SID:020,2,BQ2B,RW17,GUPET,VV,P,C,E C , ,   ,CF, ,DBN,VV,D, ,      ,1229,0259,0860,0180,B,FL110,FL100,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BQ2B,RW17,BQ,VV,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BQ2G,RW17, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,1680,    ,+,03800,     ,09000, ,   ,    ,   ,VVDB,VV,P,A, , , , ;
SID:020,5,BQ2G,RW17,DB881,VV,P,C,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,195,    ,   , , , , , , , , ;
SID:030,5,BQ2G,RW17,DB882,VV,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,FL110,FL100,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BQ2G,RW17,BEKLI,VV,P,C,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BQ2G,RW17,BQ,VV,D,B,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BQ2H,RW17,DB992,VV,P,C,E   , ,010,CF, ,DBN,VV,D, ,      ,1684,0159,1680,0170, ,     ,     ,09000, ,   ,    ,   ,VVDB,VV,P,A, , , , ;
SID:020,5,BQ2H,RW17,GUPET,VV,P,C,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,FL110,FL100,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BQ2H,RW17,BQ,VV,D,B,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LADO2A,RW17, , , , ,    , ,   ,CD, ,DBN,VV,D, ,      ,    ,    ,1680,0080, ,     ,     ,09000, ,   ,    ,   ,DBN,VV,D, , , , , ;
SID:020,2,LADO2A,RW17, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2350,    , ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:030,2,LADO2A,RW17,LADON,VL,E,A,EEC , ,   ,CF, ,DBN,VV,D, ,      ,1901,0163,1900,0050,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LADO2C,RW17,DB991,VV,P,C,E   , ,010,CF, ,DBN,VV,D, ,      ,1684,0088,1680,0100, ,     ,     ,09000, ,   ,    ,   ,VVDB,VV,P,A, , , , ;
SID:020,5,LADO2C,RW17,LADON,VL,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,BQ2C,RW35,BQ,VV,D,B,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,DBN,VV,D, , , , , ;
STAR:020,2,BQ2C,RW35,BEKLI,VV,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,BQ2C,RW35,KAGMA,VV,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,BQ2C,RW35,DBN,VV,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,BQ2D,RW35,BQ,VV,D,B,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,DBN,VV,D, , , , , ;
STAR:020,2,BQ2D,RW35,GUPET,VV,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,BQ2D,RW35,DOXIG,VV,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,BQ2D,RW35,DBN,VV,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,BQ2E,RW35,BQ,VV,D,B,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,DBN,VV,D, , , , , ;
STAR:020,2,BQ2E,RW35,BEKLI,VV,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,BQ2E,RW35,KAGMA,VV,P,C,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,BQ2F,RW35,BQ,VV,D,B,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,DBN,VV,D, , , , , ;
STAR:020,2,BQ2F,RW35,GUPET,VV,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,BQ2F,RW35,DOXIG,VV,P,C,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,BQ2J,RW35,BQ,VV,D,B,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,VVDB,VV,P,A, , , , ;
STAR:020,5,BQ2J,RW35,BEKLI,VV,P,C,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
