SID:010,4,BLTWY7,RW13, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,1310,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BLTWY7,RW13,DREMR,K4,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BLTWY7,RW31, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,3110,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BLTWY7,RW31,DREMR,K4,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BLTWY7, ,DREMR,K4,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,5,BLTWY7, ,LITLD,K4,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BLTWY7, ,BLTWY,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BLTWY7,CRIED,BLTWY,K4,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,BLTWY7,CRIED,CRIED,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,INDIE8,RW13, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1310,    ,+,00560,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,INDIE8,RW13, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,1310,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
