SID:010,1,ANAHM1,RW08B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0760,    ,+,00800,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ANAHM1,RW08B, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0760,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ANAHM1,RW08B,SLI,K2,D, ,VE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ANAHM1,RW12, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1210,    ,+,00800,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ANAHM1,RW12, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,1210,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ANAHM1,RW12,SLI,K2,D, ,VE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ANAHM1,RW26B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2560,    ,+,00800,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ANAHM1,RW26B, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,2560,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ANAHM1,RW26B,SLI,K2,D, ,VE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ANAHM1,RW30, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3010,    ,+,00800,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ANAHM1,RW30, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,3010,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ANAHM1,RW30,SLI,K2,D, ,VE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,ANAHM1,HEC,SLI,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:030,3,ANAHM1,HEC,PDZ,K2,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,ANAHM1,HEC,APLES,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,3,ANAHM1,HEC,HEC,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,ANAHM1,LHS,SLI,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,3,ANAHM1,LHS,POXKU,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,ANAHM1,LHS,BAYJY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,ANAHM1,LHS,DARTS,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,3,ANAHM1,LHS,LHS,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,ANAHM1,VTU,SLI,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,3,ANAHM1,VTU,WILMA,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
