APPCH:030,A,I10,CHE,REVME,K2,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,1040,T010,+,10000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I10, ,REVME,K2,P,C,E  I, ,   ,IF, ,IHDN,K2,P,I,      ,2837,0150,    ,    ,J,10000,08700,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I10, ,INEDE,K2,P,C,E  F, ,   ,CF, ,IHDN,K2,P,I,      ,2837,0082,1040,0068,H,08700,08700,     , ,   ,-300,   ,CHE,K2,D, , ,0,D,S;
APPCH:030,I,I10, ,RW10,K2,P,G,G  M, ,   ,CF, ,IHDN,K2,P,I,      ,2837,0017,1040,0065, ,06639,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I10, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1040,    ,+,08000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I10, , , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1300,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I10, ,TILLI,K2,E,A,E   , ,   ,CF, ,CHE,K2,D, ,      ,1138,0279,1140,0120,+,13300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:070,I,I10, ,TILLI,K2,E,A,EE H,L,   ,HM, , , , , ,      ,    ,    ,2940,T010,+,13300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,R10-Y,CELIA,CELIA,K2,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R10-Y,CELIA,REVME,K2,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R10-Y,CHE,CHE,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R10-Y,CHE,REVME,K2,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R10-Y,CHE,REVME,K2,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,1040,0070,+,10000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R10-Y,STRIM,STRIM,K2,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R10-Y,STRIM,REVME,K2,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R10-Y, ,REVME,K2,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R10-Y, ,INEDE,K2,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1040,0068,+,08700,     ,     , ,   ,    ,   ,RW10,K2,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R10-Y, ,RW10,K2,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1040,0065, ,06639,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R10-Y, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1040,    ,+,06791,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R10-Y, ,OBTUE,K2,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R10-Y, ,TILLI,K2,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,13700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:070,R,R10-Y, ,TILLI,K2,E,A,EE H,L,   ,HM, , , , , ,      ,    ,    ,2940,0080,+,13700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R10-Z,CELIA,CELIA,K2,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,P,S;
