SID:010,2,ITLA1N,RW26R,ITLAK,OO,P,C,EE  , ,   ,CF, ,MCT,OO,D, ,      ,2672,0121,2630,0140, ,     ,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:010,2,MURM1N,RW08L,MURMA,OO,P,C,EE  , ,   ,CF, ,MCT,OO,D, ,      ,0794,0141,0830,0140, ,     ,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:010,2,S08RD,RW08R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0830,    ,+,03000,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:020,2,S08RD,RW08R, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,0830,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,S26LD,RW26L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2630,    ,+,03000,     ,13000, ,   ,    ,   , , , , , , , , ;
SID:040,2,S26LD,RW26L, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2630,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,ELIG1A,RW08B,ELIGO,OO,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL250,FL160,15000, ,   ,    ,   ,OOMS,OO,P,A, , , , ;
STAR:020,5,ELIG1A,RW08B,MIGMO,OO,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,ELIG1A,RW08B,MS493,OO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,ELIG1A,RW08B,ELUNU,OO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:050,5,ELIG1A,RW08B,MS491,OO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,ELIG1A,RW08B,ELELA,OO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,220,    ,   , , , , , , , , ;
STAR:010,5,ELIG1B,RW26B,ELIGO,OO,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL200,FL160,15000, ,   ,    ,   ,OOMS,OO,P,A, , , , ;
STAR:020,5,ELIG1B,RW26B,MIGMO,OO,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
