SID:010,1,BHY1A,RW04,DER04,ZG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,WUY,ZG,D, , , , , ;
SID:020,1,BHY1A,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0500,    ,+,00990,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,BHY1A,RW04,D245N,ZG,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,1,BHY1A,RW04,D245H,ZG,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,1,BHY1A,RW04,D152H,ZG,P,C,EE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,BHY1A,RW05,DER05,ZG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,WUY,ZG,D, , , , , ;
SID:020,1,BHY1A,RW05,D050N,ZG,P,C,EY  , ,   ,CF, ,WUY,ZG,D, ,      ,0499,0136,0500,0110, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,BHY1A,RW05,YNG,ZG,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,1,BHY1A,RW05,D152H,ZG,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BHY1A, ,D152H,ZG,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,WUY,ZG,D, , , , , ;
SID:020,2,BHY1A, ,ALEKI,ZG,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BHY1A, ,BHY,ZG,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BHY2C,RW04,DER04,ZG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,ZGNN,ZG,P,A, , , , ;
SID:020,4,BHY2C,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0500,    ,+,00990,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BHY2C,RW04,NN661,ZG,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,4,BHY2C,RW04,NN667,ZG,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,4,BHY2C,RW05,DER05,ZG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,ZGNN,ZG,P,A, , , , ;
SID:010,4,BHY2C,RW05,NN651,ZG,P,C,E   , ,   ,CF, ,YNG,ZG,D, ,      ,2543,0159,0500,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,BHY2C,RW05,NN653,ZG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BHY2C,RW05,YNG,ZG,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,4,BHY2C,RW05,NN667,ZG,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BHY2C, ,NN667,ZG,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,ZGNN,ZG,P,A, , , , ;
SID:020,5,BHY2C, ,ALEKI,ZG,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BHY2C, ,BHY,ZG,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BHY4D,RW04,DER04,ZG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,ZGNN,ZG,P,A, , , , ;
