SID:010,2,FINO1A,RW02, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0210,    ,+,03200,     ,10000, ,   ,    ,   ,TDK,UA,D, ,A, , , ;
SID:020,2,FINO1A,RW02, , , , ,    , ,   ,CD, ,TDK,UA,D, ,      ,    ,    ,0210,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,FINO1A,RW02, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2180,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,FINO1A,RW02,FINON,UA,E,A,EE  , ,   ,CF, ,TDK,UA,D, ,      ,2581,0334,2580,0250,B,FL140,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,FINO1B,RW20, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2010,    ,+,03400,     ,10000, ,   ,    ,   ,TDK,UA,D, ,A, , , ;
SID:020,2,FINO1B,RW20, , , , ,    , ,   ,CD, ,TDK,UA,D, ,      ,    ,    ,2010,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,FINO1B,RW20, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,2980,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,FINO1B,RW20,FINON,UA,E,A,EE  , ,   ,CF, ,TDK,UA,D, ,      ,2581,0334,2580,0230,B,FL140,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,FULS1A,RW02, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0210,    ,+,03200,     ,10000, ,   ,    ,   ,TDK,UA,D, ,A, , , ;
SID:020,2,FULS1A,RW02,FULSA,UA,E,A,EE  , ,   ,CF, ,TDK,UA,D, ,      ,0211,0352,0210,0330,B,FL140,FL120,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,FULS1B,RW20, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2010,    ,+,03400,     ,10000, ,   ,    ,   ,TDK,UA,D, ,A, , , ;
