SID:005,2,ARNI1J,RW03,DER03,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,USNN,US,P,A,A, , , ;
SID:010,2,ARNI1J,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0260,    ,+,00800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ARNI1J,RW03, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0830,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ARNI1J,RW03,ARNIN,US,E,A,EEC , ,   ,CF, ,NWK,US,D, ,      ,0573,0270,0550,0180,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,ARNI1K,RW21,DER21,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,USNN,US,P,A,A, , , ;
SID:010,2,ARNI1K,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2060,    ,+,00800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ARNI1K,RW21,NZ,US,P,N,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ARNI1K,RW21,ARNIN,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ARNI1L,RW03, , , , ,    , ,   ,CD, ,NWK,US,D, ,      ,    ,    ,0260,0043, ,     ,     ,05000,-,230,    ,   ,USNN,US,P,A,A, , , ;
SID:020,2,ARNI1L,RW03, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0820,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ARNI1L,RW03,ARNIN,US,E,A,EEC , ,   ,CF, ,NWK,US,D, ,      ,0573,0270,0570,0170,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ARNI1M,RW21, , , , ,    , ,   ,CD, ,NWK,US,D, ,      ,    ,    ,2060,0032, ,     ,     ,05000, ,   ,    ,   ,USNN,US,P,A,A, , , ;
SID:015,2,ARNI1M,RW21,NWK,US,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,215,    ,   , , , , , , , , ;
SID:030,2,ARNI1M,RW21,ARNIN,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARNI1N,RW03,NN141,US,P,C,EYC , ,   ,CF, ,NWK,US,D, ,      ,0276,0045,0260,0040, ,     ,     ,05000, ,   ,    ,   ,USNN,US,P,A,B, , , ;
SID:020,5,ARNI1N,RW03,ARNIN,US,E,A,EEC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARNI1P,RW21,NN231,US,P,C,EYC , ,   ,CF, ,NWK,US,D, ,      ,2042,0036,2060,0040, ,     ,     ,05000,-,215,    ,   ,USNN,US,P,A,B, , , ;
SID:020,5,ARNI1P,RW21,NN238,US,P,C,EYC ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,215,    ,   , , , , , , , , ;
SID:030,5,ARNI1P,RW21,ARNIN,US,E,A,EEC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,ASBU1J,RW03,DER03,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,USNN,US,P,A,A, , , ;
SID:010,2,ASBU1J,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0260,    ,+,00800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ASBU1J,RW03,JH,US,P,N,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ASBU1J,RW03,ASBUK,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,ASBU1K,RW21,DER21,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,USNN,US,P,A,A, , , ;
SID:010,2,ASBU1K,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2060,    ,+,00800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:015,2,ASBU1K,RW21, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1270,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ASBU1K,RW21,ASBUK,US,E,A,EEC , ,   ,CF, ,NWK,US,D, ,      ,1633,0270,1680,0200,+,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ASBU1L,RW03, , , , ,    , ,   ,CD, ,NWK,US,D, ,      ,    ,    ,0260,0043, ,     ,     ,05000, ,   ,    ,   ,USNN,US,P,A,A, , , ;
SID:012,2,ASBU1L,RW03,NWK,US,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,215,    ,   , , , , , , , , ;
