SID:010,5,DAGA1A,RW18, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1830,    ,+,01000,     ,11000, ,   ,    ,   ,VKN,WM,D, ,B, , , ;
SID:020,5,DAGA1A,RW18,ELKOD,WM,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,DAGA1A,RW18,DAGAD,WM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DAGA1B,RW18, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1830,    ,+,01000,     ,11000, ,   ,    ,   ,VKN,WM,D, ,B, , , ;
SID:020,2,DAGA1B,RW18, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,0030,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,DAGA1B,RW18,DAGAD,WM,E,A,EE  , ,   ,CF, ,VKN,WM,D, ,      ,3442,0304,3380,0330,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,DAGA1C,RW36,KD251,WM,P,C,E   , ,   ,CF, ,VKN,WM,D, ,      ,0024,0105,0030,0096,+,02500,     ,11000, ,   ,    ,   ,VKN,WM,D, ,B, , , ;
SID:020,5,DAGA1C,RW36,DAGAD,WM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DAGA1D,RW36, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0030,    ,+,03000,     ,11000, ,   ,    ,   ,VKN,WM,D, ,B, , , ;
SID:020,2,DAGA1D,RW36, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,3300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DAGA1D,RW36,DAGAD,WM,E,A,EE  , ,   ,CF, ,VKN,WM,D, ,      ,3442,0304,3440,0160,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MEVO1A,RW18, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1830,    ,+,01600,     ,11000, ,   ,    ,   ,VKN,WM,D, ,B, , , ;
SID:020,5,MEVO1A,RW18,MEVOK,WM,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MEVO1B,RW18, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1830,    ,+,01600,     ,11000, ,   ,    ,   ,VKN,WM,D, ,B, , , ;
SID:020,2,MEVO1B,RW18, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MEVO1B,RW18,MEVOK,WM,E,A,EE  , ,   ,CF, ,VKN,WM,D, ,      ,2348,0301,2350,0190,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,MEVO1C,RW36,KD251,WM,P,C,E   , ,   ,CF, ,VKN,WM,D, ,      ,0024,0105,0030,0096,+,02500,     ,11000, ,   ,    ,   ,VKN,WM,D, ,B, , , ;
SID:030,5,MEVO1C,RW36,KD254,WM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
