SID:030,5,DESO1E, ,AA210,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,5,DESO1E, ,AA212,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,DESO1E, ,AA214,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:045,5,DESO1E, ,AA216,UA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,DESO1E, ,DESOK,UA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL230,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DESO6F,RW05B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0510,    ,+,03200,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:020,2,DESO6F,RW05B,TIRBA,UA,E,A,E   , ,   ,CF, ,ATA,UA,D, ,      ,0509,0223,0510,0220,B,FL130,10000,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DESO6F,RW05B,DESOK,UA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DESO6G,RW23B,D231I,UA,P,C,EY  , ,   ,CF, ,ATA,UA,D, ,      ,2310,0090,2310,0060,+,04500,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:020,2,DESO6G,RW23B,D260B,UA,P,C,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DESO6G,RW23B,ATA,UA,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DESO6G,RW23B,TIRBA,UA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,DESO6G,RW23B,DESOK,UA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,4,DOTA1A,RW05L,DE05L,UA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
SID:010,4,DOTA1A,RW05L,AA008,UA,P,C,EE  , ,   ,CF, ,ATA,UA,D, ,      ,0490,0035,0510,0040,+,03500,     ,     ,-,250,    ,   , , , , , , , , ;
SID:005,4,DOTA1A,RW05R,DE05R,UA,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,ATA,UA,D, , , , , ;
