SID:010,2,BUSI4S,RW15L, , , , ,    , ,   ,CD, ,SN,LF,D, ,      ,    ,    ,1470,0057, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:020,2,BUSI4S,RW15L,D057M,LF,P,C,EY  ,L,   ,CF, ,MOU,LF,D, ,      ,1180,0365,0570,0110, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BUSI4S,RW15L,BUSIL,LF,E,A,EEC , ,   ,CF, ,MOU,LF,D, ,      ,1174,0516,1170,0150, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BUSI5N,RW33R, , , , ,    , ,   ,CD, ,MOU,LF,D, ,      ,    ,    ,3270,0170, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:030,2,BUSI5N,RW33R,BUSIL,LF,E,A,EEC ,R,   ,CF,Y,MOU,LF,D, ,      ,1174,0516,1170,0350, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LESP4S,RW15L, , , , ,    , ,   ,CD, ,SN,LF,D, ,      ,    ,    ,1470,0022, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:020,2,LESP4S,RW15L, , , , ,    , ,   ,CD, ,SN,LF,D, ,      ,    ,    ,2150,0113, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LESP4S,RW15L,LESPI,LF,E,A,EEC , ,   ,CF, ,MOU,LF,D, ,      ,1581,0381,1570,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,LESP5N,RW33R, , , , ,    , ,   ,CD, ,MOU,LF,D, ,      ,    ,    ,3270,0180, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:030,2,LESP5N,RW33R, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,2190,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LESP5N,RW33R,LESPI,LF,E,A,EEC , ,   ,CF, ,MOU,LF,D, ,      ,1581,0381,1570,0220, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MOU4S,RW15L, , , , ,    , ,   ,CD, ,SN,LF,D, ,      ,    ,    ,1470,0022, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:020,2,MOU4S,RW15L, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2150,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MOU4S,RW15L,D272I,LF,P,C,EY  , ,   ,CF, ,MOU,LF,D, ,      ,1530,0269,2720,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,MOU4S,RW15L,MOU,LF,D, ,VEC , ,   ,CF, ,MOU,LF,D, ,      ,0000,0000,3370,0260, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,MOU5N,RW33R, , , , ,    , ,   ,CD, ,MOU,LF,D, ,      ,    ,    ,3270,0180, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:030,2,MOU5N,RW33R,MOU,LF,D, ,VEC , ,   ,CF, ,MOU,LF,D, ,      ,0000,0000,3130,0180, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,SINP4S,RW15L, , , , ,    , ,   ,CD, ,SN,LF,D, ,      ,    ,    ,1470,0022, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:020,2,SINP4S,RW15L, , , , ,    , ,   ,CD, ,SN,LF,D, ,      ,    ,    ,2150,0055, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,SINP4S,RW15L,SINPO,LF,E,A,EEC , ,   ,CF, ,MOU,LF,D, ,      ,2113,0271,2720,0290, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,BUSI4A,ALL,BUSIL,LF,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:020,2,BUSI4A,ALL,SN,LF,D,B,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,MOU4A,ALL,MOU,LF,D, ,V CH, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:020,2,MOU4A,ALL,SN,LF,D,B,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,MOU4C,ALL,MOU,LF,D, ,V CH, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:015,2,MOU4C,ALL,XAPEL,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL070,03700,     , ,   ,    ,   , , , , , , , , ;
STAR:020,2,MOU4C,ALL,SN,LF,D,B,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,MOU4G,ALL,MOU,LF,D, ,V CH, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:015,2,MOU4G,ALL,GURGO,LF,E,A,E CH, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:020,2,MOU4G,ALL,SN,LF,D,B,EECH, ,   ,CF, ,MOU,LF,D, ,      ,1395,0320,0910,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,ONZO4R,ALL,ONZON,LF,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:020,2,ONZO4R,ALL,ROA,LF,D, ,V C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,ONZO4R,ALL,SN,LF,D,B,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,PIBA4A,ALL,PIBAT,LF,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:020,2,PIBA4A,ALL,SN,LF,D,B,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,SINP4A,ALL,SINPO,LF,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:020,2,SINP4A,ALL,D271T,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,SINP4A,ALL,SN,LF,D,B,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,I33RY,ROA,ROA,LF,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I33RY,ROA,D045J,LF,P,C,EY  , ,   ,CF, ,MOU,LF,D, ,      ,1433,0391,0450,0103,+,FL070,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I33RY,ROA,CI33R,LF,P,C,EE  , ,   ,CF, ,SN,LF,P,I,      ,1461,0112,3270,0050,+,03700,     ,     ,-,210,    ,   , , , , , ,0,D,S;
APPCH:010,A,I33RY,SN1,SN,LF,D,B,EE C,L,   ,HF, , , , , ,      ,    ,    ,3270,T010,+,03700,     ,     ,+,130,    ,   , , , , , ,0,D,S;
APPCH:010,A,I33RY,SN2,SN,LF,D,B,EE C,L,   ,HF, , , , , ,      ,    ,    ,3270,T015,+,03700,     ,     ,-,130,    ,   , , , , , ,0,D,S;
APPCH:010,I,I33RY, ,CI33R,LF,P,C,E  I, ,   ,IF, ,SN,LF,P,I,      ,1461,0112,    ,    ,J,03700,03700,     , ,   ,    ,   , , , , , ,0,D,S;
