APPCH:010,A,I27,DELFI,DELFI,K7,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I27,DELFI,SIPSY,K7,E,A,EE B, ,   ,CF, ,IJFX,K7,P,I,      ,0929,0148,2730,0059,+,02800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I27,NATAN,NATAN,K7,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I27,NATAN,SIPSY,K7,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I27,NATAN,SIPSY,K7,E,A,EE C,L,   ,HF, , , , , ,      ,    ,    ,2730,T010,+,02800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I27,VUZ,VUZ,K7,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I27,VUZ,SIPSY,K7,E,A,EE B, ,   ,TF, ,IJFX,K7,P,I,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I27, ,SIPSY,K7,E,A,E  I, ,   ,IF, ,IJFX,K7,P,I,      ,0929,0148,    ,    ,J,02800,02200,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I27, ,MAYLE,K7,P,C,E  F, ,   ,CF, ,IJFX,K7,P,I,      ,0929,0061,2730,0087,H,02200,02200,     , ,   ,-300,   ,VUZ,K7,D, ,B,0,D,S;
APPCH:030,I,I27, ,RW27,K7,P,G,G  M, ,   ,CF, ,IJFX,K7,P,I,      ,0929,0009,2730,0053, ,00517,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I27, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2730,    ,+,01500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I27, ,NEGEE,K7,E,A,E   ,L,   ,CF,Y,VUZ,K7,D, ,      ,2980,0160,1180,0100,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I27, ,NEGEE,K7,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,2980,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,R09,CECAV,CECAV,K7,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,0930,0040,+,02600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R09, ,CECAV,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R09, ,YILUG,K7,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,0930,0068,+,02300,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R09, ,RW09,K7,P,G,GY M, ,   ,TF, , , , , ,      ,    ,    ,0930,0056, ,00522,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R09, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0930,    ,+,00750,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R09, ,SIPSY,K7,E,A,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R09, ,SIPSY,K7,E,A,EE H,L,   ,HM, , , , , ,      ,    ,    ,2730,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R27,SIPSY,SIPSY,K7,E,A,EE C,L,   ,HF, , , , , ,      ,    ,    ,2730,0040,+,02800,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R27, ,SIPSY,K7,E,A,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R27, ,MAYLE,K7,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,2730,0087,+,02200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R27, ,RW27,K7,P,G,GY M, ,   ,TF, , , , , ,      ,    ,    ,2730,0053, ,00517,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R27, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2730,    ,+,00781,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R27, ,CECAV,K7,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R27, ,CECAV,K7,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,0930,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,VDMA,VUZ,VUZ,K7,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VDMA,VUZ,CREAL,K7,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,A,VDMA,WUNET,WUNET,K7,E,A,E  A, ,   ,IF, ,VUZ,K7,D, ,      ,2306,0140,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VDMA,WUNET,CREAL,K7,P,C,EE B,R,   ,AF, ,VUZ,K7,D, ,      ,3019,0140,2310,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,C;
APPCH:010,A,VDMA,ZUSMA,ZUSMA,K7,E,A,E  A, ,   ,IF, ,VUZ,K7,D, ,      ,3561,0140,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,C;
APPCH:020,A,VDMA,ZUSMA,CREAL,K7,P,C,EE B,L,   ,AF, ,VUZ,K7,D, ,      ,3019,0140,3560,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,C;
