SID:010,1,ADDAN8,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0590,    ,+,00750,     ,14000, ,   ,    ,   ,NFO,RO,D, , , , , ;
SID:020,1,ADDAN8,RW06,WOBUM,RO,P,C,E   , ,   ,CF, ,NFO,RO,D, ,      ,0779,0121,0780,0110,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ADDAN8,RW06,HATAX,RO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,250,    ,   , , , , , , , , ;
SID:040,1,ADDAN8,RW06,ADDAN,RO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ADDAN8,RW24, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2390,    ,+,00800,     ,14000, ,   ,    ,   ,NFO,RO,D, , , , , ;
SID:020,1,ADDAN8,RW24,TIT,RO,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02000,     ,     ,-,250,    ,   , , , , , , , , ;
SID:022,1,ADDAN8,RW24,TIT11,RO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,1,ADDAN8,RW24,WOBUM,RO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ADDAN8,RW24,HATAX,RO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,ADDAN8,RW24,ADDAN,RO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,ADDAN8,CHERY,ADDAN,RO,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,14000, ,   ,    ,   ,NFO,RO,D, , , , , ;
SID:020,3,ADDAN8,CHERY,CHERY,RO,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,ADDAN8,PACFC,ADDAN,RO,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,14000, ,   ,    ,   ,NFO,RO,D, , , , , ;
SID:020,3,ADDAN8,PACFC,BASHO,RO,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,3,ADDAN8,PACFC,ALT75,RO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,3,ADDAN8,PACFC,TAMAK,RJ,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,3,ADDAN8,PACFC,ALT,RO,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TIT9,RW06, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0590,    ,+,00800,     ,14000, ,   ,    ,   ,TIT,RO,D, , , , , ;
SID:020,1,TIT9,RW06,TIT,RO,D, ,VE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TIT9,RW24, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2390,    ,+,00800,     ,14000, ,   ,    ,   ,TIT,RO,D, , , , , ;
SID:020,1,TIT9,RW24,TIT,RO,D, ,VE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02000,     ,     ,-,270,    ,   , , , , , , , , ;
