SID:010,4,BERYY6,RW11, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1230,    ,+,01120,     ,18000, ,   ,    ,   ,KSTL,K3,P,A, , , , ;
SID:020,4,BERYY6,RW11,LUUBE,K3,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BERYY6,RW11,DAFUS,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BERYY6,RW11,GEJAY,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,BERYY6,RW11,BERYY,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BERYY6,RW12B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1230,    ,+,01120,     ,18000, ,   ,    ,   ,KSTL,K3,P,A, , , , ;
SID:020,4,BERYY6,RW12B,HEFNR,K3,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BERYY6,RW12B,DAFUS,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BERYY6,RW12B,GEJAY,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,BERYY6,RW12B,BERYY,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BERYY6,RW29, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3030,    ,+,01120,     ,18000, ,   ,    ,   ,KSTL,K3,P,A, , , , ;
SID:020,4,BERYY6,RW29,HAGEE,K3,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BERYY6,RW29,WAARN,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BERYY6,RW29,BERYY,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BERYY6,RW30B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3030,    ,+,01120,     ,18000, ,   ,    ,   ,KSTL,K3,P,A, , , , ;
SID:020,4,BERYY6,RW30B,PYUNG,K3,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BERYY6,RW30B,ALLNT,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BERYY6,RW30B,ELDBB,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,BERYY6,RW30B,BERYY,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BERYY6,LITTR,BERYY,K3,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,18000, ,   ,    ,   ,KSTL,K3,P,A, , , , ;
SID:020,6,BERYY6,LITTR,TWRAY,K3,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,BERYY6,LITTR,LITTR,K4,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BGOOD5,RW06, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0640,    ,+,01120,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BGOOD5,RW06, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0640,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BGOOD5,RW06,BGOOD,K3,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BGOOD5,RW11, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1230,    ,+,01120,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BGOOD5,RW11,LUUBE,K3,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BGOOD5,RW11,DAFUS,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BGOOD5,RW11,TRAVS,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,BGOOD5,RW11,BGOOD,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BGOOD5,RW12B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1230,    ,+,01120,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BGOOD5,RW12B,HEFNR,K3,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BGOOD5,RW12B,DAFUS,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BGOOD5,RW12B,TRAVS,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,BGOOD5,RW12B,BGOOD,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BGOOD5,RW24, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2440,    ,+,01120,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BGOOD5,RW24, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,2440,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BGOOD5,RW24,BGOOD,K3,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
