SID:010,2,ABIM1G,RW04,DER04,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,USDD,US,P,A, , , , ;
SID:020,2,ABIM1G,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0380,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABIM1G,RW04, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,1400,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ABIM1G,RW04,ABIMA,US,E,A,EEC , ,   ,CF, ,SH,US,D, ,      ,0951,0270,0950,0220,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,ABIM1H,RW22,DER22,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,USDD,US,P,A, , , , ;
SID:010,2,ABIM1H,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2180,    ,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ABIM1H,RW22,SH,US,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,225,    ,   , , , , , , , , ;
SID:030,2,ABIM1H,RW22,ABIMA,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ABIM1L,RW22,DER22,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,USDD,US,P,A, , , , ;
SID:020,2,ABIM1L,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2180,    ,+,00650,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABIM1L,RW22,DM,US,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,ABIM1L,RW22,ABIMA,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABIM1M,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0380,    ,+,00600,     ,07000, ,   ,    ,   ,USDD,US,P,A, , , , ;
SID:030,5,ABIM1M,RW04,ABIMA,US,E,A,EEC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABIM1N,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2180,    ,+,00650,     ,07000, ,   ,    ,   ,USDD,US,P,A, , , , ;
SID:020,5,ABIM1N,RW22,ABIMA,US,E,A,EEC ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ABIM1R,RW04,DER04,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,USDD,US,P,A, , , , ;
SID:020,2,ABIM1R,RW04, , , , ,    ,L,   ,CA,Y, , , , ,      ,    ,    ,0380,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABIM1R,RW04, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,1500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ABIM1R,RW04,ABIMA,US,E,A,EEC , ,   ,CF, ,SH,US,D, ,      ,0951,0270,0930,0220,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ABIM1T,RW22,DER22,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,USDD,US,P,A, , , , ;
SID:020,2,ABIM1T,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2180,    ,+,00650,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ABIM1T,RW22,D,US,P,N,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,ABIM1T,RW22,ABIMA,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BISP1G,RW04,DER04,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,USDD,US,P,A, , , , ;
SID:020,2,BISP1G,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0380,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BISP1G,RW04, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0900,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BISP1G,RW04,BISPU,US,E,A,EEC , ,   ,CF, ,SH,US,D, ,      ,0626,0271,0630,0230,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,BISP1H,RW22,DER22,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,07000, ,   ,    ,   ,USDD,US,P,A, , , , ;
SID:010,2,BISP1H,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2180,    ,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BISP1H,RW22,SH,US,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,225,    ,   , , , , , , , , ;
SID:030,2,BISP1H,RW22,BISPU,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
