SID:010,1,CWBOY2,RW17L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1650,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,CWBOY2,RW17L, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1550,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,CWBOY2,RW17R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1650,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,CWBOY2,RW17R, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1650,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,CWBOY2,RW35L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3450,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,CWBOY2,RW35L, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3450,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,CWBOY2,RW35R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3450,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,CWBOY2,RW35R, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,RODEO2,RW17L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1650,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,RODEO2,RW17L, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1550,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,RODEO2,RW17R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1650,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,RODEO2,RW17R, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1650,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,RODEO2,RW35L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3450,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,RODEO2,RW35L, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3450,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,RODEO2,RW35R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3450,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,RODEO2,RW35R, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,STAMP2,RW11, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1050,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,STAMP2,RW11, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1050,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,STAMP2,RW17B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1650,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,STAMP2,RW17B, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1650,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,STAMP2,RW29, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2850,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,STAMP2,RW29, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2850,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,STAMP2,RW35B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3450,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,STAMP2,RW35B, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3450,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,YYC8,RW11, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1050,    ,+,04010,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,YYC8,RW11, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1050,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
