APPCH:010,A,I35,RB,RB,CY,D,B,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I35,RB,POKAN,CY,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I35,RB,POKAN,CY,P,C,EE  ,R,   ,PI, ,YRB,CY,D, ,      ,1766,0051,122T,0100,+,01900,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I35, ,AVINO,CY,P,C,E  I, ,   ,IF, ,IRB,CY,P,I,      ,1667,0156,    ,    ,J,01900,01900,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I35, ,POKAN,CY,P,C,E  F, ,   ,CF, ,IRB,CY,P,I,      ,1667,0056,347T,0100,H,01900,01540,     , ,   ,-300,   ,RB,CY,D,B, ,0,D,S;
APPCH:030,I,I35, ,RW35,CY,P,G,G  M, ,   ,CF, ,IRB,CY,P,I,      ,1667,0015,347T,0040, ,00238,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I35, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,347T,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I35, ,RB,CY,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,02200,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I35, ,RB,CY,D,B,EE H,R,   ,HM, , , , , ,      ,    ,    ,167T,T010, ,     ,     ,     ,-,230,    ,   , , , , , ,0,D,S;
APPCH:010,A,R17,DUPMA,DUPMA,CY,P,C,EE C,R,010,HF, , , , , ,      ,    ,    ,167T,T010,+,01900,     ,18000,-,230,    ,   , , , , , ,A,J,S;
APPCH:010,A,R17,IKNOP,IKNOP,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
APPCH:020,A,R17,IKNOP,DUPMA,CY,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R17,IRDUG,IRDUG,CY,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000,-,210,    ,   , , , , , ,A,J,S;
