SID:010,2,BAPS1G,RW34B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3410,    ,+,00810,     ,10000, ,   ,    ,   ,MEN,LT,D, , , , , ;
SID:020,2,BAPS1G,RW34B,MEN,LT,D, ,V   , ,   ,FD, ,MEN,LT,D, ,      ,0000,0000,3370,0030,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAPS1G,RW34B,D337F,LT,P,C,E   , ,   ,CF, ,MEN,LT,D, ,      ,3370,0060,3370,0030,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BAPS1G,RW34B,D337H,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BAPS1G,RW34B,D337J,LT,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,BAPS1G,RW34B,IMR,LT,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,BAPS1G,RW34B,BAPSI,LT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAPS1K,RW16B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1610,    ,+,04000,     ,10000, ,   ,    ,   ,MEN,LT,D, , , , , ;
SID:020,2,BAPS1K,RW16B,IMR,LT,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAPS1K,RW16B,BAPSI,LT,E,A,EEC ,R,   ,TF,Y, , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAPS1L,RW34B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3410,    ,+,00810,     ,10000, ,   ,    ,   ,MEN,LT,D, , , , , ;
SID:020,2,BAPS1L,RW34B,MEN,LT,D, ,V   , ,   ,FD, ,MEN,LT,D, ,      ,0000,0000,3370,0030,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAPS1L,RW34B,D337F,LT,P,C,EY  , ,   ,CF, ,MEN,LT,D, ,      ,3370,0060,3370,0030,+,02000,     ,     ,-,185,    ,   , , , , , , , , ;
SID:040,2,BAPS1L,RW34B,MEN,LT,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BAPS1L,RW34B,BAPSI,LT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAPS1N,RW34B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3410,    ,+,00810,     ,10000, ,   ,    ,   ,MEN,LT,D, , , , , ;
SID:020,2,BAPS1N,RW34B,MEN,LT,D, ,V   , ,   ,FD, ,MEN,LT,D, ,      ,0000,0000,3370,0030,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAPS1N,RW34B,D337F,LT,P,C,E   , ,   ,CF, ,MEN,LT,D, ,      ,3370,0060,3370,0030,+,02000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BAPS1N,RW34B,D337H,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BAPS1N,RW34B,D027H,LT,P,C,E   ,R,   ,AF, ,MEN,LT,D, ,      ,0270,0080,3370,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,BAPS1N,RW34B,D108O,LT,P,C,E   ,R,   ,AF, ,MEN,LT,D, ,      ,1198,0080,0270,    ,+,06500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,BAPS1N,RW34B,BAPSI,LT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BAPS1R,RW34L,DE34L,LT,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,MEN,LT,D, , , , , ;
SID:020,4,BAPS1R,RW34L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3410,    ,+,00900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BAPS1R,RW34L,BJ340,LT,P,C,EE  , ,   ,CF, ,MEN,LT,D, ,      ,3395,0060,3420,0050, ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:010,4,BAPS1R,RW34R,DE34R,LT,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,MEN,LT,D, , , , , ;
SID:020,4,BAPS1R,RW34R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3410,    ,+,00900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BAPS1R,RW34R,BJ340,LT,P,C,EE  , ,   ,CF, ,MEN,LT,D, ,      ,3395,0060,3410,0050, ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:010,5,BAPS1R, ,BJ340,LT,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000,-,240,    ,   ,MEN,LT,D, , , , , ;
SID:020,5,BAPS1R, ,BJ341,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,08000,04500,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BAPS1R, ,BJ342,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BAPS1R, ,BJ343,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BAPS1R, ,BAPSI,LT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAPS1S,RW16B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1610,    ,+,04000,     ,10000, ,   ,    ,   ,MEN,LT,D, , , , , ;
