APPCH:010,A,B13,HOLKS,HOLKS,K3,E,A,E  A, ,   ,IF, ,JMS,K3,D, ,      ,2596,0120,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,B13,HOLKS,D300L,K3,P,C,E   ,R,   ,AF, ,JMS,K3,D, ,      ,3000,0120,2600,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,B13,HOLKS, , , , , E  , ,   ,VI, ,IJMS,K3,P,I,      ,    ,    ,1010,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,B13,JMS,JMS,K3,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,B13,JMS,CAGNI,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,0058,+,03600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,B13,JMS,CAGNI,K3,P,C,EE A,R,   ,PI, ,JMS,K3,D, ,      ,3096,0058,2660,0100,+,03600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,B13,WURUV,WURUV,K3,P,C,E  A, ,   ,IF, ,JMS,K3,D, ,      ,3490,0120,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,B13,WURUV,D320L,K3,P,C,E   ,L,   ,AF, ,JMS,K3,D, ,      ,3200,0120,3490,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,B13,WURUV, , , , , E  , ,   ,VI, ,IJMS,K3,P,I,      ,    ,    ,1610,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,B,B13, ,NOGRE,K3,P,C,E  I, ,   ,IF, ,IJMS,K3,P,I,      ,3108,0115,    ,    ,+,03600,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,B,B13, ,CAGNI,K3,P,C,E  F, ,   ,CF, ,IJMS,K3,P,I,      ,3108,0052,1310,0062,+,03300,     ,     , ,   ,    ,   ,JMS,K3,D, ,A,0,D,S;
APPCH:025,B,B13, ,BORAC,K3,P,C,E S , ,   ,CF, ,IJMS,K3,P,I,      ,3108,0017,1310,0035,+,02160,     ,     , ,   ,-305,   , , , , , ,0,D,S;
APPCH:030,B,B13, ,ZUGEX,K3,P,C,E  M, ,   ,CF, ,IJMS,K3,P,I,      ,3108,0005,1310,0012, ,01766,     ,     , ,   ,-305,   , , , , , ,0,D,S;
APPCH:040,B,B13, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1310,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,B,B13, ,JMS,K3,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,B,B13, ,JMS,K3,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,3130,T010, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I31,CAXOL,CAXOL,K3,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I31,CAXOL,D141M,K3,P,C,E   ,L,   ,AF, ,JMS,K3,D, ,      ,1410,0130,2600,    ,+,03500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I31,CAXOL, , , , , E  , ,   ,VI, ,IJMS,K3,P,I,      ,    ,    ,3410,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
