APPCH:010,A,D36-Z,D210M,D210M,VE,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,D36-Z,D210M, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0300,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D36-Z,D210M,CD36Z,VE,P,C,EE B,L,   ,AF, ,BGD,VE,D, ,      ,1790,0100,2100,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D36-Z, ,CD36Z,VE,P,C,E  I, ,   ,IF, ,BGD,VE,D, ,      ,1790,0100,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D36-Z, ,FD36Z,VE,P,C,E  F, ,   ,CF, ,BGD,VE,D, ,      ,1790,0060,3590,0040,+,02000,     ,     , ,   ,    ,   ,BGD,VE,D, ,A,0, ,S;
APPCH:030,D,D36-Z, ,MD36Z,VE,P,C,E  M, ,   ,CF, ,BGD,VE,D, ,      ,1790,0015,3590,0045, ,00548,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D36-Z, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3590,    ,+,00820,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D36-Z, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0500,    ,+,01800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D36-Z, ,BGD,VE,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:070,D,D36-Z, ,BGD,VE,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,3590,T010,+,04000,     ,     ,-,220,    ,   , , , , , ,0, ,S;
APPCH:010,A,I36-Z,D210M,D210M,VE,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     ,-,185,    ,   , , , , , ,0,D,S;
APPCH:020,A,I36-Z,D210M, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0300,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I36-Z,D210M,D194J,VE,P,C,E   ,L,   ,AF, ,BGD,VE,D, ,      ,1940,0100,2100,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I36-Z,D210M, , , , , E  , ,   ,VI, ,IBGD,VE,P,I,      ,    ,    ,0320,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I36-Z, ,CI36Z,VE,P,C,E  I, ,   ,IF, ,IBGD,VE,P,I,      ,1820,0106,    ,    ,J,02000,02000,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I36-Z, ,FI36,VE,P,C,E  F, ,   ,CF, ,IBGD,VE,P,I,      ,1820,0067,0020,0039,H,02000,02000,     , ,   ,-300,   ,BGD,VE,D, ,A,0,D,S;
APPCH:030,I,I36-Z, ,RW36,VE,P,G,G  M, ,   ,CF, ,IBGD,VE,P,I,      ,1820,0017,0020,0049, ,00436,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I36-Z, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0020,    ,+,00820,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I36-Z, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0500,    ,+,01800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I36-Z, ,BGD,VE,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     ,-,185,    ,   , , , , , ,0,D,S;
APPCH:070,I,I36-Z, ,BGD,VE,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,0020,T010,+,04000,     ,     ,-,220,    ,   , , , , , ,0,D,S;
APPCH:020,S,S36-Y, ,FS36Y,VE,P,C,E  F, ,   ,IF, ,BGD,VE,D, ,      ,1790,0061,    ,    ,+,02000,     ,     , ,   ,    ,   ,BGD,VE,D, ,B,0, ,S;
APPCH:030,S,S36-Y, ,RW36,VE,P,G,G  M, ,   ,CF, ,BGD,VE,D, ,      ,1763,0012,3590,0049, ,00436,     ,     , ,   ,-301,   , , , , , ,0, ,S;
APPCH:040,S,S36-Y, ,BGD,VE,D, ,VYM , ,   ,CF, ,BGD,VE,D, ,      ,0000,0000,3590,0012, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S36-Y, ,BGD,VE,D, ,V   , ,   ,FA, ,BGD,VE,D, ,      ,0000,0000,0500,    ,+,01800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S36-Y, ,BGD,VE,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:070,S,S36-Y, ,BGD,VE,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,3590,T010,+,04000,     ,     ,-,220,    ,   , , , , , ,0, ,S;
RWY:RW18 ,     ,      ,00423, ,    , ,   ;N26413700,E088194200,0000;
RWY:RW36 ,     ,      ,00390, ,IBGD,2,   ;N26400800,E088193900,0000;
