SID:010,4,KTS3,RW12, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1210,    ,+,00600,     ,18000, ,   ,    ,   ,PFKT,PA,P,A,A, , , ;
SID:020,4,KTS3,RW12,MUJUD,PA,E,A,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,KTS3,RW12,MUJUD,PA,E,A,EE H,R,   ,HA, , , , , ,      ,    ,    ,1230,0100,+,06900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,KTS3,RW23, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2260,    ,+,00600,     ,18000, ,   ,    ,   ,PFKT,PA,P,A,A, , , ;
SID:020,4,KTS3,RW23,MUJUD,PA,E,A,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,KTS3,RW23,MUJUD,PA,E,A,EE H,R,   ,HA, , , , , ,      ,    ,    ,1230,0100,+,06900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,KTS3,RW30, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3010,    ,+,00600,     ,18000, ,   ,    ,   ,PFKT,PA,P,A,A, , , ;
SID:020,4,KTS3,RW30,MUJUD,PA,E,A,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,KTS3,RW30,MUJUD,PA,E,A,EE H,R,   ,HA, , , , , ,      ,    ,    ,1230,0100,+,06900,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,R12,JOVDO,JOVDO,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R12,JOVDO,WIGBO,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R12,WIGBO,WIGBO,PA,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,1200,0050,+,05100,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R12,ZOBOL,ZOBOL,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R12,ZOBOL,WIGBO,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R12, ,WIGBO,PA,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05100,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:015,R,R12, ,WOPAK,PA,P,C,E S , ,010,TF, , , , , ,      ,    ,    ,1200,0040,+,03900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R12, ,CUTIR,PA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1200,0040,+,02700,     ,     , ,   ,-312,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R12, ,DIBAC,PA,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1200,0039,+,01400,     ,     , ,   ,-312,   , , , , , ,A,J,S;
APPCH:030,R,R12, ,RW12,PA,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1200,0040, ,00077,     ,     , ,   ,-312,   , , , , , ,A,J,S;
APPCH:040,R,R12, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1200,    ,+,00287,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R12, ,CUSEW,PA,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,06300,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R12, ,CUSEW,PA,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,3010,0050,+,06300,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R30,CUSEW,CUSEW,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,06300,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R30,CUSEW,CUSEW,PA,P,C,EE H,R,   ,HF, , , , , ,      ,    ,    ,3010,0050,+,04600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R30,JOMSO,JOMSO,PA,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R30,JOMSO,CUSEW,PA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
