SID:010,2,MID04,RW04,DER04,EG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,VLN,EG,D, , , , , ;
SID:020,2,MID04,RW04, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0370,    ,+,03080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MID04,RW04, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,0370,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MID08,RW08,DER08,EG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,VLN,EG,D, , , , , ;
SID:020,2,MID08,RW08, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0830,    ,+,03080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MID08,RW08, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,0830,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MID22,RW22,DER22,EG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,VLN,EG,D, , , , , ;
SID:020,2,MID22,RW22, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2170,    ,+,03080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,MID22,RW22, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2170,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MID26,RW26,DER26,EG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,VLN,EG,D, , , , , ;
SID:020,2,MID26,RW26, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2630,    ,+,03080,     ,     , ,   ,    ,   , , , , , , , , ;
