APPCH:010,A,R13,FAXIB,FAXIB,K6,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,1320,0040,+,04100,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R13,GADYE,GADYE,K6,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R13,GADYE,FAXIB,K6,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R13,JOTOV,JOTOV,K6,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R13,JOTOV,FAXIB,K6,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R13, ,FAXIB,K6,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R13, ,CIBTA,K6,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1320,0099,+,02800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R13, ,RW13,K6,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1320,0049, ,00838,     ,     , ,   ,-377,   , , , , , ,B,J,S;
APPCH:040,R,R13, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1320,    ,+,01227,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R13, ,FAXIB,K6,P,C,EY  ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:060,R,R13, ,FAXIB,K6,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,1320,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
RWY:RW13 ,     ,      ,00793, ,    , ,   ;N42533748,W073150894,0000;
RWY:RW31 ,     ,      ,00827, ,    , ,   ;N42532009,W073142517,0000;
