APPCH:010,R,R31-Y, ,OMGUL,WA,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,13000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R31-Y, ,QA601,WA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3120,0050,+,02000,     ,     , ,   ,    ,   ,WAQA,WA,P,A, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R31-Y, ,QA603,WA,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,3120,0047, ,00554,     ,     ,-,180,-290,   , , , , , ,B,J,S;
APPCH:040,R,R31-Y, ,OMGUL,WA,P,C,E M ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     ,-,180,    ,   , , , , , ,B,J,S;
APPCH:050,R,R31-Y, ,OMGUL,WA,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,3120,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R31-Z, ,OMGUL,WA,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,13000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R31-Z, ,QA601,WA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3120,0050,+,02000,     ,     , ,   ,    ,   ,WAQA,WA,P,A, ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R31-Z, ,QA602,WA,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,3120,0052, ,00401,     ,     , ,   ,-290,   , , , , , ,B,J,S;
APPCH:040,R,R31-Z, ,OMGUL,WA,P,C,E M ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R31-Z, ,OMGUL,WA,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,3120,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
RWY:RW13 ,     ,      ,00040, ,    , ,   ;N04081789,E117395296,0000;
RWY:RW31 ,     ,      ,00042, ,    , ,   ;N04074629,E117402838,0000;
