SID:010,5,BURC1E,RW09,MZ500,RP,P,C,EY  , ,010,CF, ,ZAM,RP,D, ,      ,0966,0041,0950,0045, ,     ,     ,11000, ,   ,    ,   ,RPMZ,RP,P,A, , , , ;
SID:020,5,BURC1E,RW09,MZ502,RP,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,BURC1E,RW09,BURCO,RP,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BURC1W,RW27,MZ522,RP,P,C,EY  , ,010,CF, ,ZAM,RP,D, ,      ,2738,0065,2750,0075, ,     ,     ,11000,-,250,    ,   ,RPMZ,RP,P,A, , , , ;
SID:020,5,BURC1W,RW27,MZ524,RP,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,BURC1W,RW27,MZ526,RP,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BURC1W,RW27,BURCO,RP,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BURC2A,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0950,    ,+,00540,     ,11000, ,   ,    ,   ,ZAM,RP,D, , , , , ;
SID:020,2,BURC2A,RW09,ZAM,RP,D, ,V   , ,   ,FA, ,ZAM,RP,D, ,      ,0000,0000,1810,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BURC2A,RW09, , , , ,    , ,   ,VD, ,ZAM,RP,D, ,      ,    ,    ,1360,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BURC2A,RW09,ZAM,RP,D, ,V   ,R,   ,CF,Y,ZAM,RP,D, ,      ,0000,0000,0010,0080,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BURC2A,RW09,BURCO,RP,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BURC2B,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2750,    ,+,00540,     ,11000, ,   ,    ,   ,ZAM,RP,D, , , , , ;
SID:020,2,BURC2B,RW27,ZAM,RP,D, ,V   ,L,   ,FA, ,ZAM,RP,D, ,      ,0000,0000,1810,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BURC2B,RW27, , , , ,    , ,   ,VD, ,ZAM,RP,D, ,      ,    ,    ,1360,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BURC2B,RW27,ZAM,RP,D, ,V   ,R,   ,CF,Y,ZAM,RP,D, ,      ,0000,0000,0010,0080,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BURC2B,RW27,BURCO,RP,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BURC2C,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0950,    ,+,03000,     ,11000, ,   ,    ,   ,ZAM,RP,D, , , , , ;
