STAR:010,5,LARA1A,RW30,LARAP,GM,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL155,     ,     ,-,250,    ,   ,GMMZ,GM,P,A,A, , , ;
STAR:020,5,LARA1A,RW30,TIDMO,GM,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09200,     ,     ,-,210,    ,   , , , , , , , , ;
STAR:010,2,LARA2A,RW30,LARAP,GM,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL155,     ,     , ,   ,    ,   ,OZT,GM,D, , , , , ;
STAR:020,2,LARA2A,RW30,D067T,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,LARA2A,RW30, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2470,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,LARA2A,RW30,D122R,GM,P,C,E   ,R,   ,AF, ,OZT,GM,D, ,      ,1220,0180,0670,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,2,LARA2A,RW30,TALOK,GM,P,C,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,LARA4A,RW12,LARAP,GM,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL155,     ,     ,-,250,    ,   ,GMMZ,GM,P,A,B, , , ;
STAR:020,5,LARA4A,RW12,MZ215,GM,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL120,     ,     ,-,210,    ,   , , , , , , , , ;
STAR:030,5,LARA4A,RW12,MZ126,GM,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
STAR:010,5,LINV1A,RW30,LINVA,GM,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL155,     ,     ,-,250,    ,   ,GMMZ,GM,P,A,A, , , ;
STAR:020,5,LINV1A,RW30,MZ306,GM,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09200,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:030,5,LINV1A,RW30,TIDMO,GM,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09200,     ,     ,-,210,    ,   , , , , , , , , ;
STAR:010,2,LINV2A,RW30,LINVA,GM,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL155,     ,     , ,   ,    ,   ,OZT,GM,D, , , , , ;
STAR:020,2,LINV2A,RW30,OZT,GM,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,LINV2A,RW30,D099P,GM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,LINV2A,RW30, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0990,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,2,LINV2A,RW30,D122R,GM,P,C,E   ,R,   ,AF, ,OZT,GM,D, ,      ,1220,0180,0990,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,2,LINV2A,RW30,TALOK,GM,P,C,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,LINV4A,RW12,LINVA,GM,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL155,     ,     ,-,250,    ,   ,GMMZ,GM,P,A,B, , , ;
STAR:020,5,LINV4A,RW12,MZ220,GM,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL117,     ,     ,-,210,    ,   , , , , , , , , ;
STAR:030,5,LINV4A,RW12,MZ120,GM,P,C,EE H,R,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     ,-,210,    ,   , , , , , , , , ;
STAR:010,5,MAXO1A,RW30,MAXOR,GM,E,A,E C , ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,FL175,     ,     ,-,250,    ,   ,GMMZ,GM,P,A,A, , , ;
STAR:020,5,MAXO1A,RW30,MZ213,GM,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,14000,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:030,5,MAXO1A,RW30,MZ215,GM,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     ,-,250,    ,   , , , , , , , , ;
STAR:040,5,MAXO1A,RW30,TIDMO,GM,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,09200,     ,     ,-,210,    ,   , , , , , , , , ;
STAR:010,2,MAXO2A,RW30,MAXOR,GM,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL175,     ,     , ,   ,    ,   ,OZT,GM,D, , , , , ;
