APPCH:010,A,I21,NSA,NSA,LP,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I21,NSA,D026P,LP,P,C,E   , ,   ,CF, ,NSA,LP,D, ,      ,1812,0061,1810,0061,+,03500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I21,NSA,CF21,LP,P,C,EE B, ,   ,CF, ,PDS,LP,P,I,      ,0261,0120,2060,0050,+,02500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I21, ,CF21,LP,P,C,E  I, ,   ,IF, ,PDS,LP,P,I,      ,0261,0120,    ,    ,J,02500,02500,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I21, ,FI21,LP,P,C,E  F, ,   ,CF, ,PDS,LP,P,I,      ,0261,0074,2060,0046,H,02500,02500,     , ,   ,-300,   ,LPSO,LP,P,A, ,0,D,S;
APPCH:030,I,I21, ,RW21,LP,P,G,G  M, ,   ,CF, ,PDS,LP,P,I,      ,0261,0010,2060,0064, ,00441,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I21, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2060,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I21, , , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,0770,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I21, ,NSA,LP,D, ,V   , ,   ,CF, ,NSA,LP,D, ,      ,0000,0000,0010,0270, ,04500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:070,I,I21, ,NSA,LP,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,1810,T010,+,04500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,L21,NSA,NSA,LP,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,L21,NSA,D026P,LP,P,C,E   , ,   ,CF, ,NSA,LP,D, ,      ,1812,0061,1810,0061,+,03500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,L21,NSA,CF21,LP,P,C,EE B, ,   ,CF, ,PDS,LP,P,I,      ,0261,0120,2060,0050,+,02500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,L,L21, ,CF21,LP,P,C,E  I, ,   ,IF, ,PDS,LP,P,I,      ,0261,0120,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:015,L,L21, ,90LOC,LP,P,C,E S , ,   ,CF, ,PDS,LP,P,I,      ,0261,0100,2060,0020,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,L,L21, ,FF21,LP,P,C,E  F, ,   ,CF, ,PDS,LP,P,I,      ,0261,0060,2060,0040,+,02000,     ,     , ,   ,-292,   ,LPSO,LP,P,A, ,0,D,S;
APPCH:030,L,L21, ,ML21,LP,P,C,E  M, ,   ,CF, ,PDS,LP,P,I,      ,0261,0020,2060,0040, ,00751,     ,     , ,   ,-292,   , , , , , ,0,D,S;
APPCH:040,L,L21, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2060,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,L,L21, , , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,0770,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,L,L21, ,NSA,LP,D, ,V   , ,   ,CF, ,NSA,LP,D, ,      ,0000,0000,0010,0260, ,04500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:070,L,L21, ,NSA,LP,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,1810,T010,+,04500,     ,     , ,   ,    ,   , , , , , ,0,D,S;
RWY:RW03 ,     ,      ,00389, ,    , ,   ;N39121560,W008034292,0000;
RWY:RW21 ,     ,      ,00390, ,PDS ,1,   ;N39130887,W008031229,0000;
