APPCH:010,A,I27,DMEZA,DMEZA,K4,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I27,DMEZA,HFLIN,K4,P,C,EE B, ,010,TF, ,IVMU,K4,P,I,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I27,HFLIN,HFLIN,K4,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,2690,T010,+,04500,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I27,JBONE,JBONE,K4,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I27,JBONE,HFLIN,K4,P,C,EE B, ,010,TF, ,IVMU,K4,P,I,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I27, ,HFLIN,K4,P,C,E  I, ,   ,IF, ,IVMU,K4,P,I,      ,0892,0132,    ,    ,J,04500,03000,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I27, ,ELIIS,K4,P,C,E  F, ,   ,CF, ,IVMU,K4,P,I,      ,0892,0071,2690,0061,H,03000,03000,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:030,I,I27, ,RW27,K4,P,G,G  M, ,   ,CF, ,IVMU,K4,P,I,      ,0892,0012,2690,0060, ,01106,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I27, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2690,    ,+,01800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I27, ,GAMML,K4,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I27, ,GAMML,K4,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,2840,0050,+,06000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,R17,DAVDE,DAVDE,K4,P,C,EE C,R,   ,HF, , , , , ,      ,    ,    ,1810,0050,+,04100,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R17, ,DAVDE,K4,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R17, ,GOSBE,K4,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1810,0060,+,03800,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          , ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R17, ,NATBE,K4,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1800,0019,+,03140,     ,     , ,   ,-320,   , , , , , ,B,J,S;
APPCH:030,R,R17, ,SESIE,K4,P,C,EY M, ,302,TF, , , , , ,      ,    ,    ,1800,0056, ,01249,     ,     , ,   ,-320,   , , , , , ,B,J,S;
APPCH:040,R,R17, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1800,    ,+,01480,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R17, ,COKEL,K4,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R17, ,DAVDE,K4,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:070,R,R17, ,DAVDE,K4,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,1810,0050, ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
RWY:RW09 ,     ,      ,01075, ,    , ,   ;N34323463,W094122298,0000;
RWY:RW17 ,     ,      ,01041, ,    , ,   ;N34331965,W094123239,0000;
RWY:RW27 ,     ,      ,01050, ,IVMU,1,   ;N34323256,W094111746,0000;
RWY:RW35 ,     ,      ,01080, ,    , ,   ;N34323051,W094122554,0000;
